PreviousReportDate,Actual_MaxDemandEvePeak_MW,Actual_EveningPeakGeneration_MW,Actual_HighestGeneration_MW,Actual_DayPeakDemand_MW,Actual_DayPeakGeneration_MW,Actual_MinimumGeneration_MW,Dhaka_Actual_Demand_MW,Dhaka_Actual_Supply_MW,Dhaka_Actual_LoadShed_MW,Chattogram_Actual_Demand_MW,Chattogram_Actual_Supply_MW,Chattogram_Actual_LoadShed_MW,Sylhet_Actual_Demand_MW,Sylhet_Actual_Supply_MW,Sylhet_Actual_LoadShed_MW,Khulna_Actual_Demand_MW,Khulna_Actual_Supply_MW,Khulna_Actual_LoadShed_MW,Barishal_Actual_Demand_MW,Barishal_Actual_Supply_MW,Barishal_Actual_LoadShed_MW,Rajshahi_Actual_Demand_MW,Rajshahi_Actual_Supply_MW,Rajshahi_Actual_LoadShed_MW,Rangpur_Actual_Demand_MW,Rangpur_Actual_Supply_MW,Rangpur_Actual_LoadShed_MW
2019-11-21,,8785.0,8785.0,,7294.7,5647.0,3214.0,3214.0,0.0,905.0,905.0,0.0,329.0,329.0,0.0,953.0,953.0,0.0,208.0,208.0,0.0,953.0,953.0,0.0,208.0,208.0,0.0
2019-11-22,,7886.0,7886.0,,5725.9,5283.5,2686.0,2686.0,0.0,813.0,813.0,0.0,320.0,320.0,0.0,908.0,908.0,0.0,201.0,201.0,0.0,908.0,908.0,0.0,201.0,201.0,0.0
2019-11-23,,8946.0,8827.0,,6731.7,5200.0,3223.0,3223.0,0.0,897.0,897.0,0.0,328.0,328.0,0.0,974.0,974.0,0.0,210.0,210.0,0.0,974.0,974.0,0.0,210.0,210.0,0.0
2019-11-24,,8855.0,8855.0,,7062.8,5470.0,3248.0,3248.0,0.0,883.0,883.0,0.0,327.0,327.0,0.0,983.0,983.0,0.0,216.0,216.0,0.0,983.0,983.0,0.0,216.0,216.0,0.0
2019-11-25,,8982.0,8978.0,,7110.7,5500.0,3346.0,3346.0,0.0,878.0,878.0,0.0,328.0,328.0,0.0,981.0,981.0,0.0,219.0,219.0,0.0,981.0,981.0,0.0,219.0,219.0,0.0
2019-11-26,,8904.0,8904.0,,7208.42,5609.0,3196.0,3196.0,0.0,896.0,896.0,0.0,338.0,338.0,0.0,1001.0,1001.0,0.0,221.0,221.0,0.0,1001.0,1001.0,0.0,221.0,221.0,0.0
2019-11-27,,9185.0,9185.0,,7267.2,5687.0,3442.0,3442.0,0.0,959.0,959.0,0.0,334.0,334.0,0.0,996.0,996.0,0.0,221.0,221.0,0.0,996.0,996.0,0.0,221.0,221.0,0.0
2019-11-28,,9051.0,9051.0,,7433.9,5752.0,3438.0,3438.0,0.0,938.0,938.0,0.0,339.0,339.0,0.0,978.0,978.0,0.0,230.0,230.0,0.0,978.0,978.0,0.0,230.0,230.0,0.0
2019-11-29,,8049.0,8049.0,,6103.21,5597.0,2843.0,2843.0,0.0,815.0,815.0,0.0,316.0,316.0,0.0,907.0,907.0,0.0,214.0,214.0,0.0,907.0,907.0,0.0,214.0,214.0,0.0
2019-11-30,,8989.0,8989.0,,6870.89,5433.0,3318.0,3318.0,0.0,941.0,941.0,0.0,342.0,342.0,0.0,978.0,978.0,0.0,228.0,228.0,0.0,978.0,978.0,0.0,228.0,228.0,0.0
2019-12-01,,8778.0,8778.0,,7011.5,5630.0,3241.0,3241.0,0.0,881.0,881.0,0.0,323.0,323.0,0.0,981.0,981.0,0.0,215.0,215.0,0.0,981.0,981.0,0.0,215.0,215.0,0.0
2019-12-02,,8542.0,8542.0,,6665.6,5471.0,3215.0,3215.0,0.0,772.0,772.0,0.0,319.0,319.0,0.0,958.0,958.0,0.0,210.0,210.0,0.0,958.0,958.0,0.0,210.0,210.0,0.0
2019-12-03,,8529.0,8529.0,,6760.9,5287.0,3120.0,3120.0,0.0,904.0,904.0,0.0,321.0,321.0,0.0,970.0,970.0,0.0,222.0,222.0,0.0,970.0,970.0,0.0,222.0,222.0,0.0
2019-12-04,,8708.0,8708.0,,6876.0,5243.0,3154.0,3154.0,0.0,918.0,918.0,0.0,325.0,325.0,0.0,970.0,970.0,0.0,210.0,210.0,0.0,970.0,970.0,0.0,210.0,210.0,0.0
2019-12-05,,8692.0,8692.0,,6912.96,5196.0,3195.0,3195.0,0.0,851.0,851.0,0.0,327.0,327.0,0.0,990.0,990.0,0.0,221.0,221.0,0.0,990.0,990.0,0.0,221.0,221.0,0.0
2019-12-06,,7568.0,7568.0,,5734.3,5302.4,2519.0,2519.0,0.0,825.0,825.0,0.0,310.0,310.0,0.0,881.0,881.0,0.0,213.0,213.0,0.0,881.0,881.0,0.0,213.0,213.0,0.0
2019-12-07,,8538.0,8538.0,,6360.54,4858.0,3086.0,3086.0,0.0,842.0,842.0,0.0,334.0,334.0,0.0,972.0,972.0,0.0,226.0,226.0,0.0,972.0,972.0,0.0,226.0,226.0,0.0
2019-12-08,,8619.0,8619.0,,6856.82,5384.0,3207.0,3207.0,0.0,869.0,869.0,0.0,328.0,328.0,0.0,975.0,975.0,0.0,231.0,231.0,0.0,975.0,975.0,0.0,231.0,231.0,0.0
2019-12-09,,8721.0,8721.0,,6965.25,5388.0,3202.0,3202.0,0.0,889.0,889.0,0.0,325.0,325.0,0.0,962.0,962.0,0.0,234.0,234.0,0.0,962.0,962.0,0.0,234.0,234.0,0.0
2019-12-10,,8538.0,8538.0,,6768.03,5279.0,3096.0,3096.0,0.0,931.0,931.0,0.0,331.0,331.0,0.0,971.0,971.0,0.0,225.0,225.0,0.0,971.0,971.0,0.0,225.0,225.0,0.0
2019-12-11,,8528.0,8528.0,,6797.37,5134.0,3060.0,3060.0,0.0,916.0,916.0,0.0,326.0,326.0,0.0,985.0,985.0,0.0,221.0,221.0,0.0,985.0,985.0,0.0,221.0,221.0,0.0
2019-12-12,,8622.0,8622.0,,6864.96,5146.0,3135.0,3135.0,0.0,871.0,871.0,0.0,325.0,325.0,0.0,971.0,971.0,0.0,225.0,225.0,0.0,971.0,971.0,0.0,225.0,225.0,0.0
2019-12-13,,7568.0,7568.0,,5504.8,5039.0,2478.0,2478.0,0.0,770.0,770.0,0.0,286.0,286.0,0.0,855.0,855.0,0.0,218.0,218.0,0.0,855.0,855.0,0.0,218.0,218.0,0.0
2019-12-14,,8523.0,8523.0,,6711.3,4782.0,3018.0,3018.0,0.0,886.0,886.0,0.0,318.0,318.0,0.0,968.0,968.0,0.0,228.0,228.0,0.0,968.0,968.0,0.0,228.0,228.0,0.0
2019-12-15,,8517.0,8517.0,,6938.38,5307.0,2997.0,2997.0,0.0,888.0,888.0,0.0,324.0,324.0,0.0,973.0,973.0,0.0,215.0,215.0,0.0,973.0,973.0,0.0,215.0,215.0,0.0
2019-12-16,,7443.0,7443.0,,5757.33,5134.0,2352.0,2352.0,0.0,645.0,645.0,0.0,303.0,303.0,0.0,918.0,918.0,0.0,211.0,211.0,0.0,918.0,918.0,0.0,211.0,211.0,0.0
2019-12-17,,8445.0,8445.0,,6701.24,4671.0,3024.0,3024.0,0.0,783.0,783.0,0.0,318.0,318.0,0.0,991.0,991.0,0.0,221.0,221.0,0.0,991.0,991.0,0.0,221.0,221.0,0.0
2019-12-18,,8479.0,8479.0,,6644.1,5179.0,2943.0,2943.0,0.0,905.0,905.0,0.0,319.0,319.0,0.0,977.0,977.0,0.0,222.0,222.0,0.0,977.0,977.0,0.0,222.0,222.0,0.0
2019-12-19,,8487.0,8487.0,,6824.84,4989.0,2896.0,2896.0,0.0,889.0,889.0,0.0,312.0,312.0,0.0,991.0,991.0,0.0,223.0,223.0,0.0,991.0,991.0,0.0,223.0,223.0,0.0
2019-12-20,,7597.0,7597.0,,5827.3,5075.0,2384.0,2384.0,0.0,785.0,785.0,0.0,293.0,293.0,0.0,908.0,908.0,0.0,227.0,227.0,0.0,908.0,908.0,0.0,227.0,227.0,0.0
2019-12-21,,8364.0,8364.0,,6434.1,4596.0,2816.0,2816.0,0.0,880.0,880.0,0.0,329.0,329.0,0.0,1005.0,1005.0,0.0,231.0,231.0,0.0,1005.0,1005.0,0.0,231.0,231.0,0.0
2019-12-22,,8600.0,8600.0,,6911.0,5021.0,2909.0,2909.0,0.0,862.0,862.0,0.0,313.0,313.0,0.0,1032.0,1032.0,0.0,232.0,232.0,0.0,1032.0,1032.0,0.0,232.0,232.0,0.0
