Date,Barisal_Demand,Barisal_LoadShed,Chittagong_Demand,Chittagong_LoadShed,Comilla_Demand,Comilla_LoadShed,Dhaka_Demand,Dhaka_LoadShed,Khulna_Demand,Khulna_LoadShed,Mymensingh_Demand,Mymensingh_LoadShed,Rajshahi_Demand,Rajshahi_LoadShed,Rangpur_Demand,Rangpur_LoadShed,Sylhet_Demand,Sylhet_LoadShed
2025-01-01,293,0,1057,0,875,0,3687,0,1183,0,823,0,931,0,722,0,364,0
2025-01-02,295,0,1100,0,860,0,3873,0,1174,0,824,0,940,0,666,0,355,0
2025-01-03,277,0,975,0,795,0,3062,0,1063,0,802,0,872,0,617,0,343,0
2025-01-04,301,0,1006,0,866,0,3798,0,1164,0,842,67,971,0,658,0,396,0
2025-01-05,287,0,1084,0,893,0,4031,0,1223,0,910,44,964,0,711,0,371,0
2025-01-06,297,0,1089,0,880,0,3996,0,1214,0,867,0,985,0,703,0,368,0
2025-01-07,295,0,1083,0,895,0,3944,0,1186,0,870,0,984,0,651,0,371,0
2025-01-08,297,0,1004,0,879,0,3918,0,1195,0,865,0,989,0,669,0,365,0
2025-01-09,292,0,1097,0,895,0,3938,0,1206,0,865,0,971,0,662,0,361,0
2025-01-10,283,0,1012,0,805,0,3016,0,1105,0,833,0,899,0,598,0,338,0
2025-01-11,299,0,1136,0,917,0,3722,0,1198,0,920,0,999,0,685,0,375,0
2025-01-12,300,0,1115,0,892,0,3927,0,1212,0,927,0,991,0,677,0,385,0
2025-01-13,299,0,753,0,448,0,3747,0,1217,0,907,0,990,0,673,0,387,0
2025-01-14,294,0,1049,0,908,0,4004,0,1183,0,906,0,1005,0,657,0,369,0
2025-01-15,294,0,1103,0,876,0,3932,0,1183,0,962,0,1016,0,674,0,382,0
2025-01-16,297,0,1174,0,897,0,3977,0,1198,0,914,0,984,0,651,0,381,0
2025-01-17,281,0,1080,0,818,0,3103,0,1116,0,882,0,932,0,611,0,347,0
2025-01-18,291,0,1008,0,883,0,3936,0,1200,0,953,22,1012,0,688,0,372,0
2025-01-19,299,0,1148,0,885,0,3909,0,1209,0,945,0,1031,0,696,0,379,0
2025-01-20,287,0,1024,0,883,0,3997,0,1208,0,923,10,1038,0,714,0,383,0
2025-01-21,294,0,1099,0,902,0,3968,30,1196,0,951,25,1029,0,693,0,374,0
2025-01-22,296,0,1126,0,884,0,3944,18,1186,0,958,65,1059,0,674,0,377,0
2025-01-23,288,0,1118,0,838,0,3938,90,1214,0,947,48,1030,0,719,0,377,0
2025-01-24,271,0,1030,0,831,0,3104,0,1104,0,921,0,963,0,670,0,353,0
2025-01-25,284,0,1138,0,901,0,3884,0,1201,0,974,0,1051,0,755,0,395,0
2025-01-26,280,0,1034,0,854,0,3935,0,1190,0,992,70,1062,0,752,0,385,0
2025-01-27,286,0,1134,0,885,0,3975,0,1210,0,960,57,1072,0,749,0,388,0
2025-01-28,290,0,1186,0,878,0,4039,20,1213,0,970,65,1085,0,768,0,367,0
2025-01-29,297,0,1146,0,923,0,3989,0,1186,0,1016,82,1074,0,745,0,379,0
2025-01-30,298,0,1152,0,877,0,3987,0,1220,0,988,83,1078,0,780,0,374,0
2025-01-31,272,0,1017,0,854,0,3268,0,1067,0,892,0,992,0,691,0,343,0
2025-02-01,307,0,1097,0,935,0,3997,0,1204,0,972,0,1080,0,804,0,388,0
2025-02-02,300,0,1238,0,929,0,3857,0,1206,0,982,0,1097,0,805,0,385,0
2025-02-03,300,0,1218,0,914,0,3991,0,1224,0,989,31,1101,0,805,0,366,0
2025-02-05,304,0,1235,0,884,0,4193,0,1225,0,994,90,1110,0,792,0,397,0
2025-02-06,309,0,1183,0,941,0,4240,0,1258,0,982,74,1093,0,799,0,387,0
2025-02-07,285,0,1004,0,847,0,3253,0,1136,0,932,30,1028,0,756,0,356,0
2025-02-08,304,0,1110,0,888,0,4024,0,1233,0,991,70,1106,0,797,0,395,0
2025-02-09,296,0,1160,0,878,0,3999,40,1231,0,1012,50,1115,0,790,0,380,0
2025-02-10,291,0,1059,0,915,0,4135,0,1234,0,987,42,1124,0,762,0,402,0
2025-02-11,315,0,1124,0,938,0,4171,25,1286,0,986,85,1118,0,780,0,404,0
2025-02-12,314,0,1163,0,966,0,4373,0,1298,0,981,60,1135,0,782,0,391,0
2025-02-13,312,0,1186,0,967,0,4381,0,1274,0,1041,122,1140,0,758,0,396,0
2025-02-15,308,0,1078,0,893,0,3288,0,1205,0,944,0,1072,0,753,0,358,0
2025-02-16,314,0,1188,0,957,0,4154,0,1294,0,1010,0,1125,0,786,0,399,0
2025-02-17,316,0,1212,0,1009,0,4430,0,1308,0,1029,102,1113,0,759,0,405,0
2025-02-18,329,0,1240,0,1000,0,4517,0,1293,0,1025,90,1141,0,760,0,392,0
2025-02-19,328,0,1293,0,983,0,4523,0,1279,0,1000,60,1171,0,812,0,412,0
2025-02-20,302,0,1340,0,1021,0,4522,0,1194,0,1036,92,1151,0,784,0,419,0
2025-02-21,303,0,1188,0,965,0,3506,0,1183,0,927,0,1123,0,749,0,389,0
2025-02-22,329,0,1270,0,817,0,3274,0,1168,0,861,0,1057,0,689,0,409,0
2025-02-23,325,0,1218,0,991,0,4368,20,1324,0,940,46,1155,0,719,0,374,0
2025-02-24,319,0,1288,0,1025,0,4552,88,1318,0,1028,110,1186,0,771,0,384,0
2025-02-25,315,0,1317,0,1026,0,4692,0,1338,0,1029,0,1227,0,782,0,393,0
2025-02-27,324,0,1248,0,1035,0,4606,30,1337,0,974,89,1189,0,793,0,421,0
2025-02-28,322,0,1225,0,997,0,3962,0,1272,0,991,67,1156,0,745,0,392,0
2025-03-01,389,0,1339,0,1181,0,4870,0,1549,0,1086,0,1314,0,845,0,464,0
2025-03-02,403,0,1277,0,1213,0,4517,0,1485,0,1050,22,1208,0,794,0,432,0
2025-03-03,373,0,1341,0,1176,0,4423,0,1443,0,1017,0,1212,0,794,0,416,0
2025-03-04,352,0,1243,0,1126,0,4486,0,1443,0,1038,0,1212,0,790,0,401,0
2025-03-05,348,0,1267,0,1082,0,4525,0,1339,0,991,0,1209,0,757,0,400,0
2025-03-06,327,0,1313,0,1082,0,4415,0,1327,0,1025,0,1166,0,776,0,398,0
2025-03-07,299,0,1088,0,944,0,3767,0,1231,0,955,0,1111,0,702,0,380,0
2025-03-08,334,0,1293,0,1040,0,4428,0,1367,0,1027,0,1168,0,764,0,393,0
