Date,Barisal_Demand,Barisal_LoadShed,Chittagong_Demand,Chittagong_LoadShed,Comilla_Demand,Comilla_LoadShed,Dhaka_Demand,Dhaka_LoadShed,Khulna_Demand,Khulna_LoadShed,Mymensingh_Demand,Mymensingh_LoadShed,Rajshahi_Demand,Rajshahi_LoadShed,Rangpur_Demand,Rangpur_LoadShed,Sylhet_Demand,Sylhet_LoadShed
2020-01-01,230,0,814,0,699,0,2844,0,1012,0,640,0,1012,0,230,0,318,0
2020-01-02,229,0,915,0,695,0,2989,0,995,0,659,0,995,0,229,0,320,0
2020-01-04,179,0,797,0,594,0,2375,0,863,0,608,0,863,0,179,0,294,0
2020-01-05,194,0,839,0,710,0,2803,0,921,0,629,0,921,0,194,0,307,0
2020-01-06,233,0,905,0,681,0,2929,0,1014,0,663,0,1014,0,233,0,307,0
2020-01-07,235,0,910,0,676,0,2856,0,1041,0,661,0,1041,0,235,0,319,0
2020-01-08,235,0,933,0,706,0,2895,0,1033,0,655,0,1033,0,235,0,329,0
2020-01-09,236,0,839,0,657,0,2926,0,1000,0,652,0,1000,0,236,0,323,0
2020-01-10,215,0,724,0,695,0,2428,0,914,0,633,0,914,0,215,0,301,0
2020-01-11,232,0,901,0,716,0,2856,0,1024,0,656,0,1024,0,232,0,319,0
2020-01-13,228,0,913,0,708,0,2970,0,1025,0,662,0,1025,0,228,0,316,0
2020-01-14,238,0,912,0,710,0,2984,0,1055,0,651,0,1055,0,238,0,321,0
2020-01-15,242,0,934,0,717,0,2905,0,1026,0,674,0,1026,0,242,0,317,0
2020-01-16,236,0,906,0,737,0,3042,0,1060,0,699,0,1060,0,236,0,319,0
2020-01-17,230,0,824,0,703,0,2482,0,975,0,667,0,975,0,230,0,310,0
2020-01-18,240,0,933,0,710,0,2990,0,1059,0,697,0,1059,0,240,0,331,0
2020-01-19,244,0,843,0,719,0,3037,0,1056,0,692,0,1056,0,244,0,315,0
2020-01-20,241,0,925,0,716,0,3047,0,1061,0,720,0,1061,0,241,0,327,0
2020-01-21,237,0,926,0,703,0,2978,0,1075,0,697,0,1075,0,237,0,322,0
2020-01-22,238,0,861,0,734,0,3049,0,1064,0,740,0,1064,0,238,0,322,0
2020-01-23,233,0,885,0,716,0,2950,0,1053,0,733,0,1053,0,233,0,321,0
2020-01-24,232,0,824,0,669,0,2431,0,1007,0,703,0,1007,0,232,0,313,0
2020-01-25,221,0,861,0,731,0,2854,0,1053,0,729,0,1053,0,221,0,324,0
2020-01-26,250,0,861,0,740,0,2952,0,1056,0,740,0,1056,0,250,0,311,0
2020-01-27,227,0,912,0,731,0,3100,0,1074,0,786,0,1074,0,227,0,329,0
2020-01-28,234,0,917,0,741,0,3011,0,1066,0,751,0,1066,0,234,0,310,0
2020-01-29,225,0,959,0,738,0,3046,0,1029,0,745,0,1029,0,225,0,317,0
2020-01-30,226,0,941,0,743,0,2931,0,1036,0,745,0,1036,0,226,0,319,0
2020-01-31,222,0,874,0,701,0,2438,0,979,0,704,0,979,0,222,0,310,0
2020-02-01,220,0,831,0,736,0,2652,0,1065,0,767,0,1065,0,220,0,322,0
2020-02-02,220,0,856,0,739,0,2899,0,1037,0,758,0,1037,0,220,0,323,0
2020-02-03,229,0,855,0,746,0,2989,0,1083,0,630,0,1083,0,229,0,310,0
2020-02-04,227,0,869,0,744,0,3015,0,1053,0,771,0,1053,0,227,0,314,0
2020-02-05,222,0,880,0,752,0,3018,0,1062,0,732,0,1062,0,222,0,326,0
2020-02-06,220,0,901,0,744,0,3027,0,1067,0,758,0,1067,0,220,0,312,0
2020-02-07,211,0,781,0,703,0,2396,0,958,0,723,0,958,0,211,0,313,0
2020-02-08,222,0,814,0,741,0,2904,0,1056,0,776,0,1056,0,222,0,334,0
2020-02-09,232,0,882,0,743,0,3043,0,1056,0,747,0,1056,0,232,0,325,0
2020-02-10,223,0,926,0,743,0,2920,0,1046,0,782,0,1046,0,223,0,316,0
2020-02-11,217,0,898,0,750,0,3014,0,1061,0,753,0,1061,0,217,0,319,0
2020-02-12,229,0,907,0,742,0,3057,0,1079,0,723,0,1079,0,229,0,326,0
2020-02-13,229,0,933,0,745,0,2932,0,1034,0,768,0,1034,0,229,0,328,0
2020-02-14,227,0,857,0,715,0,2475,0,976,0,709,0,976,0,227,0,308,0
2020-02-15,226,0,890,0,717,0,3082,0,1055,0,748,0,1055,0,226,0,327,0
2020-02-16,216,0,942,0,735,0,3116,0,1034,0,722,0,1034,0,216,0,333,0
2020-02-17,229,0,934,0,739,0,3165,0,1084,0,775,0,1084,0,229,0,320,0
2020-02-18,221,0,950,0,741,0,3125,0,1076,0,737,0,1076,0,221,0,323,0
2020-02-19,241,0,885,0,785,0,3151,0,1076,0,733,0,1076,0,241,0,325,0
2020-02-20,224,0,867,0,761,0,3207,0,1069,0,737,0,1069,0,224,0,331,0
2020-02-21,216,0,665,0,720,0,2346,0,950,0,697,0,950,0,216,0,306,0
2020-02-22,234,0,914,0,763,0,3192,0,1072,0,758,0,1072,0,234,0,346,0
2020-02-23,234,0,978,0,791,0,3353,0,1099,0,752,0,1099,0,234,0,329,0
2020-02-24,239,0,981,0,768,0,3299,0,1060,0,754,0,1060,0,239,0,350,0
2020-02-25,239,0,981,0,768,0,3299,0,1060,0,754,0,1060,0,239,0,350,0
2020-02-26,230,0,877,0,704,0,3180,0,1077,0,712,0,1077,0,230,0,323,0
2020-02-27,229,0,907,0,726,0,3117,0,1059,0,735,0,1059,0,229,0,325,0
2020-02-28,220,0,831,0,712,0,2561,0,971,0,715,0,971,0,220,0,293,0
2020-02-29,234,0,1030,0,751,0,3264,0,1099,0,737,0,1099,0,234,0,314,0
2020-03-01,223,0,981,0,748,0,3367,0,1118,0,768,0,1118,0,223,0,350,0
2020-03-02,241,0,933,0,801,0,3437,0,1111,0,771,0,1111,0,241,0,341,0
2020-03-03,223,0,877,0,732,0,3189,0,1042,0,800,0,1042,0,223,0,337,0
2020-03-04,217,0,1038,0,773,0,3490,0,1027,0,727,0,1027,0,217,0,347,0
2020-03-05,85,0,1013,0,796,0,3487,0,1009,0,767,0,1009,0,85,0,345,0
2020-03-06,219,0,905,0,748,0,2729,0,1026,0,599,0,1026,0,219,0,287,0
2020-03-07,236,0,1006,0,758,0,3200,0,1058,0,686,0,1058,0,236,0,320,0
2020-03-08,255,0,913,0,784,0,3363,0,1118,0,679,0,1118,0,255,0,320,0
2020-03-09,239,0,969,0,792,0,3375,0,1103,0,748,0,1103,0,239,0,333,0
2020-03-10,234,0,1005,0,813,0,3322,0,1103,0,750,0,1103,0,234,0,337,0
2020-03-11,270,0,980,0,839,0,3477,0,1134,0,782,0,1134,0,270,0,334,0
2020-03-12,263,0,1145,0,889,0,3615,0,1256,0,827,0,1256,0,263,0,357,0
2020-03-13,265,0,991,0,909,0,3202,0,1165,0,807,0,1165,0,265,0,365,0
2020-03-14,233,0,1161,0,862,0,3335,0,1059,0,686,0,1059,0,233,0,366,0
2020-03-15,235,0,1183,0,969,0,3602,0,1200,0,785,0,950,0,604,0,379,0
2020-03-16,262,0,1180,0,898,0,3687,0,1178,0,821,0,1033,0,643,0,386,0
2020-03-17,257,0,1119,0,897,0,3181,0,1202,0,809,0,1071,0,650,0,357,0
2020-03-18,272,0,1141,0,900,0,3678,0,1231,0,834,0,1076,0,652,0,369,0
2020-03-19,249,0,1145,0,919,0,3702,0,1233,0,863,0,1065,0,678,0,361,0
2020-03-20,243,0,1071,0,845,0,3061,0,1168,0,788,0,978,0,645,0,348,0
2020-03-21,255,0,1130,0,912,0,3587,0,1087,0,849,0,1123,0,686,0,369,0
2020-03-22,230,0,1100,0,845,0,3414,0,1131,0,814,0,1040,0,637,0,328,0
2020-03-23,254,0,1147,0,860,0,3362,0,1164,0,816,0,1036,0,650,0,340,0
2020-03-24,238,0,1104,0,921,0,3317,0,1245,0,844,0,1103,0,686,0,354,0
2020-03-25,243,0,1088,0,907,0,2991,0,1231,0,858,0,1094,0,686,0,355,0
2020-03-26,249,0,812,0,962,0,2686,0,1201,0,902,0,1105,0,683,0,369,0
2020-03-27,259,0,1039,0,961,0,2693,0,1235,0,892,0,1115,0,681,0,391,0
2020-03-28,273,0,1057,0,1021,0,2776,0,1285,0,908,0,1169,0,697,0,399,0
2020-03-30,247,0,1068,0,941,0,2645,0,1241,0,884,0,1146,0,725,0,343,0
2020-03-31,249,0,1047,0,958,0,2625,0,1221,0,877,0,1124,0,714,0,350,0
2020-04-01,270,0,985,0,984,0,2755,0,1310,0,920,0,1171,0,751,0,352,0
2020-04-02,293,0,1055,0,628,0,2214,0,1335,0,682,0,1103,0,723,0,237,0
2020-04-03,134,0,945,0,373,0,2459,0,1206,0,898,0,1203,0,704,0,337,0
2020-04-04,218,0,939,0,855,0,2762,0,1323,0,897,0,1193,0,716,0,363,0
