ReportDate,IsHoliday,DayOfWeek,ProbableMaxDemand_MW_Forecast,ProbableMaxGeneration_MW_Forecast,GrossTotal_ProbableDayPeakGeneration_MW,GrossTotal_ProbableEveningPeakGeneration_MW
2019-11-22,No,Friday,8000.0,15215.0,12691.0,15215.0
2019-11-23,No,Saturday,8500.0,15020.0,12230.0,15020.0
2019-11-24,No,Sunday,7200.0,14893.0,12228.0,14893.0
2019-11-25,No,Monday,9000.0,14625.0,12271.0,14625.0
2019-11-26,No,Tuesday,9000.0,14675.0,12321.0,14675.0
2019-11-27,No,Wednesday,9100.0,14594.0,12105.0,14594.0
2019-11-28,No,Thursday,9300.0,14483.0,12000.0,14483.0
2019-11-29,No,Friday,8400.0,14615.0,12130.0,14615.0
2019-11-30,No,Saturday,9100.0,14223.0,11654.0,14223.0
2019-12-01,No,Sunday,9100.0,13747.0,11302.0,13747.0
2019-12-02,No,Monday,9000.0,13939.0,11501.0,13939.0
2019-12-03,No,Tuesday,8700.0,13845.0,11416.0,13845.0
2019-12-04,No,Wednesday,8600.0,13800.0,11300.0,13800.0
2019-12-05,No,Thursday,8900.0,14273.0,11715.0,14273.0
2019-12-06,No,Friday,8000.0,14072.0,11540.0,14072.0
2019-12-07,No,Saturday,8500.0,13883.0,11341.0,13883.0
2019-12-08,No,Sunday,8800.0,14038.0,11515.0,14038.0
2019-12-09,No,Monday,8700.0,13990.0,11390.0,13990.0
2019-12-10,No,Tuesday,8700.0,14046.0,11485.0,14046.0
2019-12-11,No,Wednesday,8700.0,13787.0,11352.0,13787.0
2019-12-12,No,Thursday,8600.0,13958.0,11106.0,13958.0
2019-12-13,No,Friday,7500.0,14005.0,11255.0,14005.0
2019-12-14,No,Saturday,8500.0,13940.0,11175.0,13940.0
2019-12-15,No,Sunday,8700.0,13923.0,11212.0,13923.0
2019-12-16,No,Monday,8000.0,13443.0,10748.0,13443.0
2019-12-17,No,Tuesday,8600.0,13906.0,11042.0,13906.0
2019-12-18,No,Wednesday,8600.0,13784.0,10923.0,13784.0
2019-12-19,No,Thursday,8600.0,13605.0,10810.0,13605.0
2019-12-20,No,Friday,7700.0,13493.0,10807.0,13493.0
2019-12-21,No,Saturday,8500.0,14070.0,11015.0,14070.0
2019-12-22,No,Sunday,8500.0,14150.0,10999.0,14150.0
2019-12-23,No,Monday,8600.0,14184.0,11211.0,14184.0
2019-12-24,No,Tuesday,8500.0,14421.0,11387.0,14421.0
2019-12-25,No,Wednesday,7600.0,14710.0,11790.0,14710.0
2019-12-26,No,Thursday,8600.0,14709.0,11810.0,14709.0
2019-12-27,No,Friday,7700.0,14261.0,11224.0,14261.0
2019-12-28,No,Saturday,8400.0,14242.0,11532.0,14242.0
2019-12-29,No,Sunday,8700.0,14519.0,11627.0,14519.0
2019-12-30,No,Monday,8800.0,14777.0,12004.0,14777.0
2019-12-31,No,Tuesday,8900.0,14850.0,12035.0,14850.0
2020-01-01,No,Wednesday,8800.0,14460.0,11726.0,14460.0
2020-01-02,No,Thursday,8600.0,14652.0,11968.0,14652.0
2020-01-04,No,Saturday,8500.0,14702.0,11856.0,14702.0
2020-01-05,No,Sunday,8500.0,14538.0,11410.0,14538.0
2020-01-06,No,Monday,8500.0,14820.0,11912.0,14820.0
2020-01-07,No,Tuesday,8600.0,14392.0,11512.0,14392.0
2020-01-08,No,Wednesday,8600.0,14500.0,11670.0,14500.0
2020-01-09,No,Thursday,8600.0,14285.0,11305.0,14285.0
2020-01-10,Yes,Friday,7600.0,14264.0,11414.0,14264.0
2020-01-11,No,Saturday,8500.0,14593.0,11588.0,14593.0
2020-01-12,No,Sunday,8700.0,14624.0,11720.0,14624.0
2020-01-13,No,Monday,8900.0,14620.0,11240.0,14620.0
2020-01-14,No,Tuesday,8900.0,14466.0,11364.0,14466.0
2020-01-15,No,Wednesday,8900.0,14779.0,11573.0,14779.0
2020-01-16,No,Thursday,8800.0,14821.0,11580.0,14821.0
2020-01-17,Yes,Friday,8000.0,14204.0,11177.0,14204.0
2020-01-18,No,Saturday,8700.0,14368.0,11016.0,14368.0
2020-01-19,No,Sunday,8900.0,14346.0,11345.0,14346.0
2020-01-20,No,Monday,9000.0,14500.0,11560.0,14500.0
2020-01-21,No,Tuesday,9000.0,14656.0,11712.0,14656.0
2020-01-22,No,Wednesday,9100.0,14600.0,11615.0,14600.0
2020-01-23,No,Thursday,9200.0,14510.0,11460.0,14510.0
2020-01-24,Yes,Friday,8200.0,14085.0,10836.0,14085.0
2020-01-25,No,Saturday,9000.0,13928.0,10589.0,13928.0
2020-01-26,No,Sunday,9100.0,14224.0,11071.0,14224.0
2020-01-27,No,Monday,9100.0,14282.0,11238.0,14282.0
2020-01-28,No,Tuesday,9100.0,14040.0,11090.0,14040.0
2020-01-29,No,Wednesday,9500.0,14014.0,10684.0,14014.0
2020-01-30,No,Thursday,9400.0,14162.0,11236.0,14162.0
2020-01-31,Yes,Friday,8400.0,13721.0,10929.0,13721.0
2020-02-01,No,Saturday,9000.0,14080.0,11233.0,14080.0
2020-02-02,No,Sunday,9000.0,14564.0,11696.0,14564.0
2020-02-03,No,Monday,9200.0,14643.0,11605.0,14643.0
2020-02-04,No,Tuesday,9200.0,14609.0,11337.0,14609.0
2020-02-05,No,Wednesday,9200.0,14493.0,11312.0,14493.0
2020-02-06,No,Thursday,9300.0,14545.0,11680.0,14545.0
2020-02-07,Yes,Friday,8400.0,14229.0,11234.0,14229.0
2020-02-08,No,Saturday,9000.0,14052.0,11013.0,14052.0
2020-02-09,No,Sunday,9300.0,13917.0,11183.0,13917.0
2020-02-10,No,Monday,9300.0,14485.0,11626.0,14485.0
2020-02-11,No,Tuesday,9200.0,14337.0,11878.0,14337.0
2020-02-12,No,Wednesday,9400.0,14885.0,12110.0,14885.0
2020-02-13,No,Thursday,9400.0,14716.0,11989.0,14716.0
2020-02-13,No,Thursday,9400.0,14716.0,11989.0,14716.0
2020-02-15,No,Saturday,9200.0,14541.0,11799.0,14541.0
2020-02-16,No,Sunday,9400.0,14295.0,11601.0,14295.0
2020-02-17,No,Monday,9500.0,14345.0,11680.0,14345.0
2020-02-17,No,Monday,9500.0,14345.0,11680.0,14345.0
2020-02-19,No,Wednesday,9500.0,14138.0,11451.0,14138.0
2020-02-20,No,Thursday,9500.0,14165.0,11474.0,14165.0
2020-02-21,Yes,Friday,8700.0,14091.0,11302.0,14091.0
2020-02-22,No,Saturday,9000.0,14653.0,11913.0,14653.0
2020-02-23,No,Sunday,9600.0,14463.0,11745.0,14463.0
2020-02-24,No,Monday,9800.0,14388.0,11688.0,14388.0
2020-02-25,No,Tuesday,9600.0,14361.0,11661.0,14361.0
2020-02-26,No,Wednesday,9400.0,14244.0,11515.0,14244.0
2020-02-27,No,Thursday,9400.0,14405.0,11585.0,14405.0
2020-03-28,No,Saturday,9900.0,14750.0,12131.0,14750.0
2020-03-29,No,Sunday,10000.0,15154.0,12405.0,15154.0
2020-03-01,No,Sunday,9600.0,15403.0,12358.0,15403.0
2020-03-02,No,Monday,10000.0,15365.0,12460.0,15365.0
2020-03-03,No,Tuesday,9400.0,15285.0,12375.0,15285.0
2020-03-04,No,Wednesday,9800.0,14630.0,11924.0,14630.0
2020-03-05,No,Thursday,9500.0,14575.0,11955.0,14575.0
2020-03-06,Yes,Friday,8800.0,14491.0,11636.0,14491.0
2020-03-07,No,Saturday,9000.0,14570.0,11460.0,14570.0
2020-03-08,No,Sunday,9500.0,14740.0,11890.0,14740.0
2020-03-09,No,Monday,9800.0,14766.0,11975.0,14766.0
2020-03-10,No,Tuesday,9800.0,14455.0,11656.0,14455.0
2020-03-11,No,Wednesday,10000.0,14442.0,11801.0,14442.0
2020-03-12,No,Thursday,10300.0,14606.0,11853.0,14606.0
2020-03-13,Yes,Friday,9200.0,14691.0,11931.0,14691.0
2020-03-14,No,Saturday,10000.0,14671.0,11601.0,14671.0
2020-03-15,No,Sunday,10500.0,14711.0,11641.0,14711.0
2020-03-16,No,Monday,11000.0,14583.0,11866.0,14583.0
2020-03-17,No,Tuesday,10500.0,14707.0,11938.0,14707.0
2020-03-18,No,Wednesday,11000.0,15084.0,12297.0,15084.0
2020-03-19,No,Thursday,11000.0,14677.0,11936.0,14677.0
2020-03-20,Yes,Friday,10200.0,13924.0,11488.0,13924.0
2020-03-21,No,Saturday,10700.0,14039.0,11731.0,14039.0
2020-03-22,No,Sunday,10600.0,14976.0,12432.0,14976.0
2020-03-23,No,Monday,10700.0,14933.0,12389.0,14933.0
2020-03-24,No,Tuesday,10300.0,14889.0,12385.0,14889.0
2020-03-25,No,Wednesday,10400.0,15173.0,12679.0,15173.0
2020-03-26,Yes,Thursday,9000.0,15159.0,12591.0,15159.0
2020-03-27,Yes,Friday,9200.0,14460.0,11990.0,14460.0
2020-03-31,No,Tuesday,10000.0,15326.0,12429.0,15326.0
2020-03-30,No,Monday,10100.0,15430.0,12731.0,15430.0
2020-04-01,No,Wednesday,9900.0,15256.0,12554.0,15256.0
2020-04-02,No,Thursday,10100.0,15981.0,12956.0,15981.0
2020-04-03,Yes,Friday,9800.0,15893.0,12975.0,15893.0
2020-04-04,No,Saturday,9800.0,15152.0,11934.0,15152.0
2020-04-05,No,Sunday,10200.0,15090.0,11858.0,15090.0
2020-04-06,No,Monday,9800.0,14866.0,12049.0,14866.0
2020-04-07,No,Tuesday,10100.0,14691.0,11684.0,14691.0
2020-04-08,No,Wednesday,10500.0,14852.0,11676.0,14852.0
2020-04-09,No,Thursday,10000.0,15544.0,12161.0,15544.0
2020-04-10,Yes,Friday,9800.0,14988.0,11526.0,14988.0
2020-04-11,No,Saturday,10300.0,14609.0,11553.0,14609.0
2020-04-12,No,Sunday,9000.0,15024.0,11610.0,15024.0
2020-04-13,No,Monday,9500.0,14837.0,11787.0,14837.0
2020-04-14,Yes,Tuesday,10200.0,15404.0,12309.0,15404.0
2020-04-15,No,Wednesday,10000.0,15687.0,12606.0,15687.0
2020-04-16,No,Thursday,9000.0,15400.0,12360.0,15400.0
2020-04-17,Yes,Friday,9800.0,15845.0,12944.0,15845.0
2020-04-18,No,Saturday,10000.0,15827.0,13124.0,15827.0
2020-04-19,No,Sunday,9000.0,14856.0,12377.0,14856.0
