Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
31-12-2024,14543,14949,10600,14949
31-12-2024,10596,11883,10100,11883
30-12-2024,13760,15475,10800,15475
29-12-2024,14372,14729,10800,14729
28-12-2024,14138,14492,9850,14492
27-12-2024,13791,14419,10600,14419
26-12-2024,13645,14092,10600,14092
25-12-2024,12982,13683,10500,13683
24-12-2024,12696,13349,10700,13349
23-12-2024,12705,13515,10700,13515
22-12-2024,13489,14032,10600,14032
21-12-2024,13239,13812,9200,13812
21-12-2024,13165,13670,9800,13670
19-12-2024,13642,14223,10500,14223
19-12-2024,13397,14157,10500,14157
17-12-2024,12971,13722,10250,13722
16-12-2024,12495,13296,9500,13296
15-12-2024,13411,13833,10200,13833
14-12-2024,12658,13256,10000,13256
13-12-2024,12722,13521,10000,13521
12-12-2024,13201,13840,10300,13840
11-12-2024,12740,13314,10300,13314
10-12-2024,13235,13745,10300,13745
09-12-2024,13192,13757,10600,13757
08-12-2024,12646,13341,10800,13341
07-12-2024,12300,13200,10000,13200
06-12-2024,12157,12855,9500,12855
05-12-2024,12757,13455,10900,13455
04-12-2024,12562,13262,11200,13262
03-12-2024,12490,13220,10800,13220
02-12-2024,12922,13607,10900,13607
01-12-2024,13306,14080,10900,14080
30-11-2024,13210,13990,10600,13990
29-11-2024,13564,14206,9200,14206
28-11-2024,13305,13564,10800,13564
27-11-2024,13263,14013,10800,14013
26-11-2024,13049,13778,10600,13778
25-11-2024,13438,14393,10700,14393
24-11-2024,12657,13187,11000,13187
23-11-2024,12837,13187,10500,13187
22-11-2024,12527,13325,10800,13325
21-11-2024,12703,13298,11000,13298
20-11-2024,12150,12715,11500,12715
19-11-2024,12769,13158,11100,13158
18-11-2024,12832,13453,11300,13453
17-11-2024,12795,13684,11800,13684
15-11-2024,12072,13315,11500,13315
14-11-2024,11859,13141,12400,13141
13-11-2024,12588,13213,12800,13213
12-11-2024,12010,12850,12550,12850
11-11-2024,12229,12962,12500,12962
10-11-2024,12095,12812,13000,12812
09-11-2024,12730,13801,12000,13801
08-11-2024,12321,13493,12000,13493
07-11-2024,12110,13535,13000,13535
06-11-2024,12069,13807,13000,13807
05-11-2024,12569,14022,13500,14022
04-11-2024,12479,13974,13500,13974
03-11-2024,12085,13476,14000,13476
02-11-2024,12008,13162,13000,13162
01-11-2024,12189,13366,13200,13366
01-11-2024,12189,13366,13200,13366
31-10-2024,12010,13171,14000,13171
30-10-2024,12305,13623,14000,13623
29-10-2024,12904,14041,14800,14041
28-10-2024,13086,14186,14300,14186
27-10-2024,12904,14073,14300,14073
26-10-2024,12796,13792,13200,13792
25-10-2024,12784,13677,11000,13677
24-10-2024,13319,14218,12800,14218
23-10-2024,13494,14651,14650,14651
22-10-2024,13651,14851,14500,14851
21-10-2024,13576,14732,13800,14732
20-10-2024,13827,14787,13800,14787
19-10-2024,13283,14360,13700,14360
18-10-2024,13889,14830,12800,14830
17-10-2024,13608,14614,14300,14614
16-10-2024,13181,14894,14500,14894
15-10-2024,13394,14693,14400,14693
14-10-2024,13346,14854,15000,14854
13-10-2024,13409,15020,14500,15020
12-10-2024,13630,15227,14000,15227
11-10-2024,13156,14798,14000,14798
10-10-2024,13443,14579,13500,14579
