File_Name,Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
6337report.pdf,24.07.22,11242,12313,14000,12313
summary_20240929_20240929124426.pdf,29.09.24,15385,16444,15500,16444
6792report.pdf,09.03.23,11719,13729,12600,13729
6876report.pdf,20.04.23,14150,16030,15500,16030
6047report.pdf,03.03.22,11775,12360,10800,12360
summary_20240812_20240813102757.pdf,12.08.24,14800,15918,14500,15918
5044report.pdf,19.10.20,13826,14726,12800,14726
7041report.pdf,11.07.23,12889,15074,15000,15074
7088report.pdf,04.08.23,13249,15162,14200,15162
5272report.pdf,10.01.21,12459,13631,9500,13631
5758report.pdf,11.10.21,13213,14081,13800,14081
summary_20241118_20241118140437.pdf,18.11.24,12832,13453,11300,13453
5933report.pdf,06.01.22,11582,12473,9500,12473
5102report.pdf,17.11.20,13128,14439,9800,14439
7331report.pdf,03.12.23,11875,13550,10900,13550
5334report.pdf,13.03.21,14305,15445,11800,15445
6721report.pdf,01.02.23,9632,10873,10500,10873
6517report.pdf,22.10.22,10325,12787,13300,12787
6384report.pdf,17.08.22,11905,13880,14300,13880
6451report.pdf,19.09.22,11985,13908,14000,13908
5178report.pdf,25.12.20,11935,13198,8100,13198
5452report.pdf,11.05.21,14985,15748,11000,15748
5664report.pdf,25.08.21,13615,14507,13300,14507
5514report.pdf,11.06.21,14509,15511,12000,15511
5208report.pdf,09.01.21,12413,13677,9100,13677
summary_20240928_20240929113131.pdf,28.09.24,14928,16339,13500,16339
7219report.pdf,08.10.23,12795,14955,14500,14955
5736report.pdf,30.09.21,14110,15149,13000,15149
summary_20240725_20240725135919.pdf,25.07.24,15097,16521,15200,16521
5670report.pdf,28.08.21,13705,14448,13000,14448
7675report.pdf,21.05.24,15620,17069,14600,17069
5446report.pdf,08.05.21,14855,15773,12000,15773
5994report.pdf,05.02.22,11706,12484,9100,12484
7169report.pdf,13.09.23,13888,15431,15000,15431
4992report.pdf,23.09.20,13055,13971,11900,13971
6445report.pdf,16.09.22,11556,14283,12400,14283
4395report.pdf,24.11.19,12228,14893,7200,14893
6503report.pdf,15.10.22,10370,12813,13500,12813
6818report.pdf,22.03.23,11472,13252,11600,13252
6735report.pdf,08.02.23,9727,11210,10600,11210
5320report.pdf,06.03.21,14410,15350,11000,15350
5927report.pdf,03.01.22,11052,11967,9300,11967
7113report.pdf,16.08.23,13529,15469,14800,15469
7439report.pdf,27.01.24,10507,11216,10000,11216
7263report.pdf,30.10.23,11987,14532,13000,14532
summary_20240828_20240829102152.pdf,28.08.24,14958,16406,14600,16406
7055report.pdf,18.07.23,13278,15173,15100,15173
5050report.pdf,22.10.20,13589,14534,11700,14534
6579report.pdf,22.11.22,9716,11313,10800,11313
6265report.pdf,18.06.22,13859,14919,12300,14919
6924report.pdf,14.05.23,10892,12563,12500,12563
6609report.pdf,07.12.22,8814,11112,10200,11112
7524report.pdf,07.03.24,13004,13859,12250,13859
7238report.pdf,18.10.23,12608,14730,14000,14730
7148report.pdf,03.09.23,14039,15710,15000,15710
5184report.pdf,28.12.20,12323,13586,9000,13586
7654report.pdf,11.05.24,15077,17145,13000,17145
6378report.pdf,14.08.22,11649,13590,14000,13590
6187report.pdf,10.05.22,14762,15324,12500,15324
6839report.pdf,01.04.23,12649,14026,11900,14026
summary_20241106_20241106131050.pdf,06.11.24,12069,13807,13000,13807
6522report.pdf,25.10.22,8842,11962,11000,11962
6008report.pdf,12.02.22,12051,12787,9600,12787
