Date,Demand(MW),Generation(MW),Temp(C),Year,Month,Season,IsHoliday,DemandGenGap(MW)
2024-12-31,-0.8551657046043514,0.5292686235426877,-2.4407774163811444,2024,12,0,0,1.5886291424840857
2024-12-30,-0.7540209751271458,0.888983859979128,-1.5720376951831458,2024,12,0,0,1.7949992497365925
2024-12-29,-0.7540209751271458,0.37881738396851117,-1.74018086702792,2024,12,0,0,1.3227535441833098
2024-12-28,-1.2344584401438723,0.21674036679087552,-1.74018086702792,2024,12,0,0,1.7741090241558173
2024-12-27,-0.8551657046043514,0.16681791002308058,-1.6841331430796622,2024,12,0,1,1.253119458914059
2024-12-26,-0.8551657046043514,-0.056807341525809095,-1.5440138332090174,2024,12,0,0,1.0461163145227408
2024-12-25,-0.9057380693429542,-0.3365098732796191,-1.74018086702792,2024,12,0,0,0.8505078386300272
2024-12-24,-0.8045933398657485,-0.5649222097240507,-1.9363479008468227,2024,12,0,0,0.5124660065047553
2024-12-23,-0.8045933398657485,-0.45139991077262664,-1.964371762820952,2024,12,0,0,0.6175501715474427
2024-12-22,-0.8551657046043514,-0.09783949777331179,-2.1325149346657253,2024,12,0,0,1.0081340861940586
2024-12-21,-1.5631788109447902,-0.24829073734748833,-2.048443348743338,2024,12,0,0,1.7551179099914762
2024-12-19,-0.9057380693429542,-0.012355838924347846,-1.9923956247950805,2024,12,0,0,1.150567442426617
2024-12-17,-1.032168981189461,-0.30983897171874236,-1.824252452950307,2024,12,0,0,1.0334555717465135
2024-12-16,-1.4114617167289818,-0.6011672810760115,-2.104491072691597,2024,12,0,0,1.2385596047213976
2024-12-15,-1.0574551635587626,-0.2339294826608624,-2.2446103825622417,2024,12,0,0,1.135374551095144
2024-12-14,-1.158599893035968,-0.62852205190768,-2.412753554407015,2024,12,0,0,0.8967195497632573
2024-12-13,-1.158599893035968,-0.4472966951478764,-2.496825140329402,2024,12,0,1,1.0644743915482706
2024-12-12,-1.0068827988201596,-0.22914239776532042,-0.008534680645068139,2024,12,0,0,1.0765020971856867
2024-12-11,-1.0068827988201596,-0.5888576342017606,-2.356705830458757,2024,12,0,0,0.7435245621709056
2024-12-10,-1.0068827988201596,-0.294109978490533,-1.9083240388726932,2024,12,0,0,1.0163635689986064
2024-12-09,-0.8551657046043514,-0.28590354724103245,-1.9923956247950805,2024,12,0,0,0.8340488730209316
2024-12-08,-0.7540209751271458,-0.5703931638903844,-1.9363479008468227,2024,12,0,0,0.4440979955131272
2024-12-07,-1.158599893035968,-0.6668187310720158,-1.8522763149244355,2024,12,0,0,0.8612694699898206
2024-12-06,-1.4114617167289818,-0.9027536294951563,-1.7121570050537906,2024,12,0,1,0.959390226505583
2024-12-05,-0.703448610388543,-0.49243206702012937,-1.3478467993901138,2024,12,0,0,0.45296051545648636
2024-12-04,-0.5517315161727347,-0.6244188362829297,-1.375870661364243,2024,12,0,0,0.14087320602248052
2024-12-03,-0.7540209751271458,-0.6531413456561815,-1.0956320416229532,2024,12,0,0,0.3675005017169513
2024-12-02,-0.703448610388543,-0.3884839378597892,-1.0956320416229532,2024,12,0,0,0.5491821605558147
2024-12-01,-0.703448610388543,-0.06501377277530963,-0.9835365937264379,2024,12,0,0,0.8486087272135932
2024-11-30,-0.8551657046043514,-0.12656200714656368,-0.8994650078040507,2024,11,0,0,0.981546526363981
2024-11-29,-1.5631788109447902,0.02115375534444602,-0.703297973985148,2024,11,0,1,2.0045345426831562
2024-11-28,-0.7540209751271458,-0.4178903165038328,-1.067608179648824,2024,11,0,0,0.5852652774680629
2024-11-27,-0.7540209751271458,-0.1108330139183543,-1.207727489519469,2024,11,0,0,0.8694989527943684
2024-11-26,-0.8551657046043514,-0.27154229255440654,-1.3198229374159853,2024,11,0,0,0.8473426529359704
2024-11-25,-0.8045933398657485,0.14903730898249606,-1.2637752134677276,2024,11,0,0,1.1733567794238264
2024-11-24,-0.6528762456499403,-0.675709031592308,-1.0956320416229532,2024,11,0,0,0.22000284837390188
2024-11-23,-0.9057380693429542,-0.675709031592308,-0.9274888697781791,2024,11,0,0,0.5365214177795873
2024-11-22,-0.7540209751271458,-0.5813350722230518,-1.0115604557005662,2024,11,0,1,0.43396940129214523
2024-11-21,-0.6528762456499403,-0.599799542534428,-1.0395843176746955,2024,11,0,0,0.29026997078196404
2024-11-20,-0.4000144219569264,-0.9984953274059959,-0.9835365937264379,2024,11,0,0,-0.39530925055075056
2024-11-19,-0.6023038809113375,-0.6955412404452677,-0.8994650078040507,2024,11,0,0,0.13834105746723505
2024-11-18,-0.5011591514341319,-0.49379980556171277,-1.0115604557005662,2024,11,0,0,0.19847958565431528
2024-11-17,-0.24829732774111807,-0.3358260040088274,-0.8714411458299214,2024,11,0,0,0.028192595314056514
2024-11-15,-0.4000144219569264,-0.588173764930969,-0.5071309401662445,2024,11,0,1,-0.015486967263928075
2024-11-14,0.055136860690498585,-0.7071670180487267,-0.3389877683214712,2024,11,0,0,-0.6953688543473404
2024-11-13,0.2574263196449097,-0.6579284305517236,-0.31096390634734183,2024,11,0,0,-0.90300503587747
2024-11-12,0.13099540779840274,-0.9061729758491148,-0.03072528660605205,2024,11,0,0,-0.9745382325631549
2024-11-11,0.10570922542910136,-0.8295796175204432,-0.058749148580181425,2024,11,0,0,-0.8719862160757128
2024-11-10,0.35857104912211524,-0.9321600081391999,-0.1988684584508263,2024,11,0,0,-1.283460356303104
2024-11-09,-0.14715259826391253,-0.2558132993261972,-0.25491618239908403,2024,11,0,0,-0.024349487207287267
2024-11-08,-0.14715259826391253,-0.4664450347300443,-0.14282073450256855,2024,11,0,1,-0.2193249259611895
2024-11-07,0.35857104912211524,-0.4377225253567924,-0.25491618239908403,2024,11,0,0,-0.8257745049424827
2024-11-06,0.35857104912211524,-0.2517100837014469,-0.5912025260886316,2024,11,0,0,-0.6535884031857899
2024-11-05,0.6114328728151291,-0.10467819048122891,0.08137016129046346,2024,11,0,0,-0.8340039877470306
2024-11-04,0.6114328728151291,-0.13750391547923105,0.1374178852387212,2024,11,0,0,-0.8643897704099763
2024-11-03,0.864294696508143,-0.4780708123335034,0.10939402326459283,2024,11,0,0,-1.4961608349437245
2024-11-02,0.35857104912211524,-0.6928057633621009,0.22148947116110834,2024,11,0,0,-1.0618973577191242
2024-11-01,0.4597157785993208,-0.5532964321205917,0.3896326430058826,2024,11,0,1,-1.0593652091638786
2024-10-31,0.864294696508143,-0.6866509399249754,0.5017280909023981,2024,10,1,0,-1.6892371622811926
2024-10-30,0.864294696508143,-0.3775420295271218,0.5297519528765274,2024,10,1,0,-1.403104375538453
2024-10-29,1.2688736144169652,-0.09168467433618638,0.3896326430058826,2024,10,1,0,-1.6449245625643967
2024-10-28,1.0160117907239512,0.007476369928611788,0.5017280909023981,2024,10,1,0,-1.2366156080310624
2024-10-27,1.0160117907239512,-0.06980085767085162,0.417656504980011,2024,10,1,0,-1.3081488047167473
2024-10-26,0.4597157785993208,-0.26196812276332254,0.33358491905762483,2024,10,1,0,-0.7896913880302346
2024-10-25,-0.6528762456499403,-0.34061308890436937,-0.0027014246319236692,2024,10,1,1,0.5301910463914736
2024-10-24,0.2574263196449097,0.02936018659394656,-0.619226388062761,2024,10,1,0,-0.2668027113720423
2024-10-23,1.193015067309061,0.32547558084675765,0.1654417472128506,2024,10,1,0,-1.1638163370677548
2024-10-22,1.1171565202011569,0.46224943500509996,0.5857996768247852,2024,10,1,0,-0.942253338483775
2024-10-21,0.7631499670309374,0.3808689917808863,0.19346560918697997,2024,10,1,0,-0.5744587608343685
2024-10-20,0.7631499670309374,0.41848180167443044,0.10939402326459283,2024,10,1,0,-0.5396417181997432
2024-10-19,0.7125776022923347,0.1264696230463696,0.1654417472128506,2024,10,1,0,-0.7466448625910614
2024-10-18,0.2574263196449097,0.447888180318474,-0.14282073450256855,2024,10,1,1,0.12061601758051665
2024-10-17,1.0160117907239512,0.30017241782746434,0.10939402326459283,2024,10,1,0,-0.9656757126197957
2024-10-16,1.1171565202011569,0.49165581364914357,0.3616087810317532,2024,10,1,0,-0.915032741514886
2024-10-15,1.0665841554625541,0.35419809022000953,0.30556105708349546,2024,10,1,0,-0.9789694925348346
2024-10-14,1.3700183438941707,0.4643010428174751,0.417656504980011,2024,10,1,0,-1.2568727964730264
2024-10-13,1.1171565202011569,0.5778233417688992,0.47370422892826974,2024,10,1,0,-0.8352700620246534
2024-10-12,0.864294696508143,0.7193842808227835,0.2775371951093661,2024,10,1,0,-0.38771280488501414
2024-10-11,0.864294696508143,0.42600436365313926,0.33358491905762483,2024,10,1,1,-0.6592857374350922
2024-10-10,0.6114328728151291,0.27623699334975443,0.19346560918697997,2024,10,1,0,-0.481402301429097
2024-10-09,1.1171565202011569,0.5538879172911894,-0.0027014246319236692,2024,10,1,0,-0.8574263618830513
2024-10-08,1.3700183438941707,0.564145956353065,0.2495133331352377,2024,10,1,0,-1.1644493742065662
2024-10-07,1.3700183438941707,0.9300160162266307,0.2495133331352377,2024,10,1,0,-0.8257745049424827
2024-10-06,1.1171565202011569,0.8479517037316253,0.3616087810317532,2024,10,1,0,-0.5852203921941619
2024-10-05,0.10570922542910136,0.7898228157143298,-0.3670116302955996,2024,10,1,0,0.6270457286296134
2024-10-04,0.35857104912211524,0.7193842808227835,-0.058749148580181425,2024,10,1,1,0.24532433392635672
2024-10-03,1.1171565202011569,0.5846620344768163,-0.17084459647669692,2024,10,1,0,-0.8289396906365396
2024-10-02,1.5723078028485817,0.7022875490529907,0.417656504980011,2024,10,1,0,-1.2897907276912175
2024-10-01,1.4711630733713763,0.7686228683197868,0.4456803669541404,2024,10,1,0,-1.1017786974642405
2024-09-30,1.6228801675871847,1.471640478693666,0.5297519528765274,2024,9,1,0,-0.6409276604095625
2024-09-29,1.6228801675871847,1.5516531833762965,0.6138235387989146,2024,9,1,0,-0.5668623151686321
2024-09-28,0.6114328728151291,1.4798469099431668,0.5857996768247852,2024,9,1,0,0.6327430628789157
2024-09-27,0.4597157785993208,1.4039374208852868,-0.0027014246319236692,2024,9,1,1,0.7523870821142647
2024-09-26,0.864294696508143,1.3314472781813653,-0.39503549226972895,2024,9,1,0,0.17885543435116277
2024-09-25,0.864294696508143,1.5721692615000478,-0.11479687252843918,2024,9,1,0,0.40168450721276533
2024-09-24,1.6734525323257874,1.63303362660051,0.8380144345919456,2024,9,1,0,-0.554834609531216
2024-09-23,2.0274590854960066,1.1584283526710624,1.1462769163073647,2024,9,1,0,-1.437288381034267
2024-09-22,1.8251696265415958,1.0838866021547657,0.9220860205143327,2024,9,1,0,-1.253074573640158
2024-09-21,1.72402489706439,1.4613824396317905,0.4456803669541404,2024,9,1,0,-0.7770306452540072
2024-09-20,1.6228801675871847,1.555072529730255,1.5666348459192994,2024,9,1,1,-0.5636971294745752
2024-09-19,1.8757419912801985,1.559859614625797,1.3424439501262684,2024,9,1,0,-0.875784438908581
2024-09-18,1.5723078028485817,1.3376021016184907,1.00615760643672,2024,9,1,0,-0.7016992257354541
2024-09-17,1.6228801675871847,1.4299244531753719,0.6978951247213008,2024,9,1,0,-0.6795429258770561
2024-09-16,0.15628159016770413,1.5352403208772953,0.19346560918697997,2024,9,1,0,1.2537524960528705
2024-09-15,-0.14715259826391253,1.2562216583942771,-0.3670116302955996,2024,9,1,0,1.3752956267046537
2024-09-14,0.35857104912211524,1.3670084802625344,-0.39503549226972895,2024,9,1,0,0.8448105043807249
2024-09-13,1.3700183438941707,1.5277177588985866,0.8940621585402043,2024,9,1,1,-0.27250004562134467
2024-09-12,1.72402489706439,1.2486990964155682,1.2303485022297518,2024,9,1,0,-0.9739051954243435
2024-09-11,1.8251696265415958,0.9840416886191758,0.9501098824884622,2024,9,1,0,-1.3454979959066182
2024-09-10,1.9768867207574041,0.345991658970509,0.641847400773043,2024,9,1,0,-2.1260327880610386
2024-09-09,1.9768867207574041,0.8937709448746699,0.9220860205143327,2024,9,1,0,-1.6189700398731304
2024-09-08,1.8251696265415958,0.9334353625805892,1.00615760643672,2024,9,1,0,-1.3923427441786598
2024-09-07,1.6228801675871847,1.189886339127481,0.866038296566075,2024,9,1,0,-0.9017389615998472
2024-09-06,0.864294696508143,0.8274356256078739,0.6978951247213008,2024,9,1,1,-0.28769293695281756
2024-09-05,1.6734525323257874,0.5668814334362319,0.5297519528765274,2024,9,1,0,-1.5417395089381432
2024-09-04,1.6228801675871847,0.767938999048995,0.7259189866954301,2024,9,1,0,-1.2923228762464631
2024-09-03,1.4711630733713763,1.1515896599631452,0.1654417472128506,2024,9,1,0,-0.7472778997298728
2024-09-02,1.6734525323257874,1.8730717406484008,0.5577758148506559,2024,9,1,0,-0.3326385738084249
2024-09-01,1.6228801675871847,1.8881168646058184,0.5857996768247852,2024,9,1,0,-0.2554080428734376
2024-08-31,1.3700183438941707,1.6966334687841393,0.8380144345919456,2024,8,1,0,-0.11613987233493604
2024-08-30,0.864294696508143,1.2500668349571515,0.8940621585402043,2024,8,1,1,0.10352401483260965
2024-08-29,1.3700183438941707,1.5537047911886717,0.8940621585402043,2024,8,1,0,-0.24844463434651254
2024-08-28,1.1677288849397596,1.5256661510862115,0.3896326430058826,2024,8,1,0,-0.021184301513230412
2024-08-27,0.864294696508143,1.0811511250715988,0.2495133331352377,2024,8,1,0,-0.05283615845379895
2024-08-26,0.2574263196449097,0.8609452198766678,-0.11479687252843918,2024,8,1,0,0.5029704494225846
2024-08-25,0.9654394259853485,0.6947649870742819,-0.03072528660605205,2024,8,1,0,-0.5371095696444976
2024-08-24,0.7125776022923347,0.9129192844568379,0.5017280909023981,2024,8,1,0,-0.01865215295798493
2024-08-23,0.004564495951895808,0.5518363094788141,0.19346560918697997,2024,8,1,1,0.5333562320855304
2024-08-22,0.864294696508143,0.6763005167629057,-0.14282073450256855,2024,8,1,0,-0.4275941446301305
2024-08-21,0.6114328728151291,0.5463653553124804,-0.0027014246319236692,2024,8,1,0,-0.23135263159860553
2024-08-20,0.6114328728151291,0.9751513880988836,0.30556105708349546,2024,8,1,0,0.165561654436124
2024-08-19,1.3700183438941707,1.095512379758225,-0.1988684584508263,2024,8,1,0,-0.672579517350131
2024-08-18,1.3700183438941707,0.9901965120563012,0.05334629931633508,2024,8,1,0,-0.7700672367270821
2024-08-17,1.1171565202011569,0.6325328834322361,0.19346560918697997,2024,8,1,0,-0.7846270909197437
2024-08-16,1.1171565202011569,0.5791910803104826,0.3896326430058826,2024,8,1,1,-0.8340039877470306
2024-08-15,1.8757419912801985,0.6680940855134051,0.8940621585402043,2024,8,1,0,-1.7012648679186086
2024-08-14,1.6228801675871847,0.9170225000815881,0.866038296566075,2024,8,1,0,-1.1543207799855841
2024-08-13,1.2183012496783625,1.443601838591206,0.6138235387989146,2024,8,1,0,-0.160452472051732
2024-08-12,1.1171565202011569,1.191937946939856,0.3896326430058826,2024,8,1,0,-0.2668027113720423
2024-08-11,1.3700183438941707,0.7604164370702862,0.3896326430058826,2024,8,1,0,-0.9827677153677027
2024-08-10,1.1171565202011569,0.9334353625805892,0.4456803669541404,2024,8,1,0,-0.5060907498427405
2024-08-09,0.6114328728151291,1.654917443265845,0.3616087810317532,2024,8,1,1,0.7948005704146266
2024-08-08,0.9148670612467458,2.3524640994733907,0.4456803669541404,2024,8,1,0,1.0606761687154023
2024-08-07,0.864294696508143,2.3681930927016,0.5017280909023981,2024,8,1,0,1.138539736789201
2024-08-06,0.864294696508143,1.14953805215077,0.5017280909023981,2024,8,1,0,0.010467555427338132
2024-08-05,0.35857104912211524,1.2268152797502334,0.417656504980011,2024,8,1,0,0.7150378909243938
2024-08-04,1.2688736144169652,1.0394350995533046,0.4456803669541404,2024,8,1,0,-0.5978811349703893
2024-08-03,0.6620052375537319,1.611833679205967,0.08137016129046346,2024,8,1,0,0.6916155167883732
2024-08-02,0.10570922542910136,1.3519633563051168,-0.25491618239908403,2024,8,1,1,1.1474022567325601
2024-08-01,1.6228801675871847,1.0230222370543034,-0.0867730105543098,2024,8,1,0,-1.0562000234698217
2024-07-31,1.8757419912801985,1.3574343104714504,0.6698712627471723,2024,7,1,0,-1.063163431996747
2024-07-30,1.8757419912801985,1.3054602458912803,0.47370422892826974,2024,7,1,0,-1.111274254546411
2024-07-29,1.8757419912801985,1.3929955125526194,0.7259189866954301,2024,7,1,0,-1.0302455007785556
2024-07-28,1.8757419912801985,1.369743957345701,1.0341814684108492,2024,7,1,0,-1.051768763498142
2024-07-27,1.6228801675871847,1.7034721614920565,1.0622053303849777,2024,7,1,0,-0.42632807035250775
2024-07-26,1.3700183438941707,0.924545062060297,0.9501098824884622,2024,7,1,1,-0.8308388020529738
2024-07-25,1.4711630733713763,1.6043111172272582,0.8940621585402043,2024,7,1,0,-0.3282073138367453
2024-07-18,1.8757419912801985,1.3341827552645322,1.4545393980227839,2024,7,1,0,-1.0846866947163334
