Date,Actual_Demand(MW),Generation(MW),Temp(C),Year,Month,Season,IsHoliday,DemandGenGap(MW),Predicted_Demand(MW)
2024-12-14,10000.000000000002,13256.0,18.8,2024,12,0,0,3255.9999999999995,10130.488007647247
2024-12-06,9500.0,12855.0,21.3,2024,12,0,1,3355.0,10511.137798768395
2024-11-30,10600.0,13990.0,24.2,2024,11,0,0,3390.0000000000005,11206.31396740758
2024-11-29,9200.0,14206.0,24.9,2024,11,0,1,5006.0,11130.922810057467
2024-11-27,10800.0,14013.0,23.1,2024,11,0,0,3212.9999999999995,10769.291412030254
2024-11-15,11500.0,13315.0,25.6,2024,11,0,1,1814.9999999999995,11482.9676221374
2024-11-14,12400.0,13141.0,26.2,2024,11,0,0,741.0,12079.085273143108
2024-11-09,12000.0,13801.0,26.5,2024,11,0,0,1801.0000000000002,12347.010187159438
2024-11-07,13000.0,13535.0,26.5,2024,11,0,0,534.9999999999995,12386.52111466477
2024-11-02,13000.0,13162.0,28.2,2024,11,0,0,161.9999999999998,13717.104289993624
2024-10-30,14000.0,13623.0,29.3,2024,10,1,0,-377.0000000000001,14979.91685832948
2024-10-24,12799.999999999998,14218.0,25.2,2024,10,1,0,1418.0,12662.665495781168
2024-10-22,14500.0,14851.0,29.5,2024,10,1,0,350.99999999999966,14958.666266520944
2024-10-20,13800.0,14787.0,27.8,2024,10,1,0,986.9999999999998,13976.72898445631
2024-10-19,13700.0,14360.0,28.0,2024,10,1,0,659.9999999999993,14103.30766201512
2024-10-16,14500.0,14894.0,28.7,2024,10,1,0,394.0000000000002,14402.336795956486
2024-10-13,14500.0,15020.000000000002,29.1,2024,10,1,0,519.9999999999997,14580.620837330724
2024-10-11,14000.0,14797.999999999998,28.6,2024,10,1,1,797.9999999999999,13717.615023955852
2024-09-20,15500.000000000002,16449.0,33.0,2024,9,1,1,949.0,15819.298784755874
2024-09-19,16000.0,16456.0,32.2,2024,9,1,0,455.9999999999996,16041.976573221662
2024-09-18,15400.0,16130.999999999998,31.0,2024,9,1,0,730.9999999999995,15437.609210752444
2024-09-12,15700.0,16001.0,31.8,2024,9,1,0,300.99999999999943,16100.946266877923
2024-09-10,16200.000000000002,14681.0,29.7,2024,9,1,0,-1519.0000000000005,15437.385730887465
