Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2024-12-31,10600,18.7,0,77.9,18.7
2024-12-30,10800,21.8,0,61.4,21.7
2024-12-29,10800,21.2,0,65.4,21.2
2024-12-28,9850,21.2,0,66.0,21.2
2024-12-27,10600,21.4,1,59.5,21.3
2024-12-26,10600,21.9,0,58.3,21.8
2024-12-25,10500,21.2,0,58.8,21.2
2024-12-24,10700,20.5,0,65.3,20.5
2024-12-23,10700,20.4,0,68.1,20.4
2024-12-22,10600,19.8,0,75.6,19.8
2024-12-21,9200,20.1,0,74.1,20.1
2024-12-19,10500,20.3,0,68.6,20.3
2024-12-17,10250,20.9,0,60.4,20.8
2024-12-16,9500,19.9,0,64.5,19.8
2024-12-15,10200,19.4,0,69.3,19.4
2024-12-14,10000,18.8,0,73.6,18.8
2024-12-13,10000,18.5,1,82.1,18.5
2024-12-12,10300,19.47,0,87.5,16.8
2024-12-11,10300,19.0,0,71.2,19.0
2024-12-10,10300,20.6,0,74.5,20.6
2024-12-09,10600,20.3,0,75.7,20.3
2024-12-08,10800,20.5,0,57.0,20.5
2024-12-07,10000,20.8,0,50.5,20.8
2024-12-06,9500,21.3,1,56.2,21.3
2024-12-05,10900,22.6,0,63.6,22.5
2024-12-04,11200,22.5,0,62.5,22.4
2024-12-03,10800,23.5,0,61.0,23.4
2024-12-02,10900,23.5,0,60.1,23.4
2024-12-01,10900,23.9,0,61.5,23.8
2024-11-30,10600,24.2,0,66.2,24.3
2024-11-29,9200,24.9,1,57.4,24.8
2024-11-28,10800,23.6,0,61.4,23.5
2024-11-27,10800,23.1,0,65.6,23.0
2024-11-26,10600,22.7,0,64.8,22.7
2024-11-25,10700,22.9,0,62.1,22.9
2024-11-24,11000,23.5,0,64.8,23.4
2024-11-23,10500,24.1,0,65.9,24.2
2024-11-22,10800,23.8,1,61.2,23.7
2024-11-21,11000,23.7,0,62.8,23.5
2024-11-20,11500,23.9,0,63.3,23.7
2024-11-19,11100,24.2,0,64.7,24.1
2024-11-18,11300,23.8,0,62.2,23.8
2024-11-17,11800,24.3,0,54.6,24.1
2024-11-15,11500,25.6,1,69.7,25.9
2024-11-14,12400,26.2,0,68.5,26.6
2024-11-13,12800,26.3,0,65.1,26.7
2024-11-12,12550,27.3,0,57.7,27.6
2024-11-11,12500,27.2,0,63.7,27.8
2024-11-10,13000,26.7,0,65.8,27.2
2024-11-09,12000,26.5,0,64.3,26.9
2024-11-08,12000,26.9,1,65.9,27.4
2024-11-07,13000,26.5,0,71.4,27.5
2024-11-06,13000,25.3,0,73.1,25.7
2024-11-05,13500,27.7,0,68.8,28.9
2024-11-04,13500,27.9,0,71.3,29.6
2024-11-03,14000,27.8,0,75.0,29.7
2024-11-02,13000,28.2,0,73.8,30.6
2024-11-01,13200,28.8,1,74.7,32.4
2024-10-31,14000,29.2,0,77.7,34.4
2024-10-30,14000,29.3,0,75.6,34.1
2024-10-29,14800,28.8,0,74.0,31.9
2024-10-28,14300,29.2,0,71.4,32.4
2024-10-27,14300,28.9,0,77.4,32.5
2024-10-26,13200,28.6,0,79.5,32.7
2024-10-25,11000,27.4,1,80.9,30.3
2024-10-24,12800,25.2,0,87.6,25.9
2024-10-23,14650,28.0,0,83.7,32.4
2024-10-22,14500,29.5,0,76.3,34.0
2024-10-21,13800,28.1,0,74.1,30.1
2024-10-20,13800,27.8,0,79.1,30.1
2024-10-19,13700,28.0,0,82.5,31.0
2024-10-18,12800,26.9,1,90.7,29.4
2024-10-17,14300,27.8,0,83.5,31.7
2024-10-16,14500,28.7,0,77.3,32.3
2024-10-15,14400,28.5,0,74.6,31.4
2024-10-14,15000,28.9,0,77.1,32.7
2024-10-13,14500,29.1,0,76.8,33.3
2024-10-12,14000,28.4,0,82.0,32.2
2024-10-11,14000,28.6,1,82.3,33.3
2024-10-10,13500,28.1,0,84.1,31.9
2024-10-09,14500,27.4,0,88.6,30.9
2024-10-08,15000,28.3,0,86.1,33.0
2024-10-07,15000,28.3,0,86.8,33.6
2024-10-06,14500,28.7,0,84.0,34.0
2024-10-05,12500,26.1,0,89.04285714285713,27.4
2024-10-04,13000,27.2,1,91.5,31.2
2024-10-03,14500,26.8,0,93.5,30.0
2024-10-02,15400,28.9,0,87.0,35.2
2024-10-01,15200,29.0,0,86.6,35.6
2024-09-30,15500,29.3,0,90.8,38.2
2024-09-29,15500,29.6,0,85.9,37.4
2024-09-28,13500,29.5,0,81.7,35.2
2024-09-27,13200,27.4,1,90.2,30.9
2024-09-26,14000,26.0,0,93.6,26.8
2024-09-25,14000,27.0,0,93.1,31.1
2024-09-24,15600,30.4,0,78.6,38.0
2024-09-23,16300,31.5,0,80.7,42.7
2024-09-22,15900,30.7,0,71.5,36.0
2024-09-21,15700,29.0,0,79.2,34.7
2024-09-20,15500,33.0,1,73.7,44.3
2024-09-19,16000,32.2,0,76.3,42.7
2024-09-18,15400,31.0,0,77.3,39.5
2024-09-17,15500,29.9,0,79.2,35.9
2024-09-16,12600,28.1,0,85.5,32.4
2024-09-15,12000,26.1,0,82.42857142857143,27.1
2024-09-14,13000,26.0,0,92.0,26.3
2024-09-13,15000,30.6,1,72.8,37.1
2024-09-12,15700,31.8,0,75.3,40.8
2024-09-11,15900,30.8,0,80.5,40.2
2024-09-10,16200,29.7,0,82.9,36.9
2024-09-09,16200,30.7,0,75.4,38.0
2024-09-08,15900,31.0,0,75.8,38.9
2024-09-07,15500,30.5,0,81.8,39.2
2024-09-06,14000,29.9,1,78.5,36.3
2024-09-05,15600,29.3,0,86.9,37.1
2024-09-04,15500,30.0,0,81.4,37.2
2024-09-03,15200,28.0,0,89.0,33.5
2024-09-02,15600,29.4,0,85.2,37.1
2024-09-01,15500,29.5,0,82.3,36.6
2024-08-31,15000,30.4,0,76.8,37.7
2024-08-30,14000,30.6,1,76.9,37.6
2024-08-29,15000,30.6,0,77.1,37.7
2024-08-28,14600,28.8,0,85.0,35.1
2024-08-27,14000,28.3,0,85.8,33.3
2024-08-26,12800,27.0,0,89.6,29.8
2024-08-25,14200,27.3,0,89.3,30.5
2024-08-24,13700,29.2,0,80.1,34.9
2024-08-23,12300,28.1,1,88.6,33.5
2024-08-22,14000,26.9,0,94.1,30.5
2024-08-21,13500,27.4,0,88.95714285714287,32.4
2024-08-20,13500,28.5,0,85.9,33.3
2024-08-19,15000,26.7,0,90.9,28.8
2024-08-18,15000,27.6,0,88.7,31.7
2024-08-17,14500,28.1,0,81.7,32.3
2024-08-16,14500,28.8,1,84.8,34.8
2024-08-15,16000,30.6,0,78.2,38.3
2024-08-14,15500,30.5,0,80.5,38.8
2024-08-13,14700,29.6,0,85.8,37.7
2024-08-12,14500,28.8,0,88.5,35.9
2024-08-11,15000,28.8,0,86.9,35.4
2024-08-10,14500,29.0,0,84.9,35.6
2024-08-09,13500,28.7,1,84.4,34.4
2024-08-08,14100,29.0,0,83.2,35.1
2024-08-07,14000,29.2,0,83.7,35.9
2024-08-06,14000,29.2,0,82.5,35.6
2024-08-05,13000,28.9,0,84.3,35.3
2024-08-04,14800,29.0,0,82.4,34.5
2024-08-03,13600,27.7,0,91.1,32.6
2024-08-02,12500,26.5,1,94.1,28.2
2024-08-01,15500,27.1,0,93.0,30.4
2024-07-31,16000,29.8,0,84.1,37.6
2024-07-30,16000,29.1,0,86.2,36.5
2024-07-29,16000,30.0,0,80.1,37.5
2024-07-28,16000,31.1,0,74.6,39.0
2024-07-27,15500,31.2,0,74.9,39.5
2024-07-26,15000,30.8,1,75.9,38.5
2024-07-25,15200,30.6,0,78.6,38.4
2024-07-18,16000,32.6,0,69.6,41.5
2024-07-17,15800,31.1,0,77.3,39.7
2024-07-16,16500,30.3,0,78.6,38.0
2024-07-15,16000,30.9,0,75.6,38.7
2024-07-14,15900,30.1,0,79.7,37.6
2024-07-13,14800,29.1,0,84.9,36.0
2024-07-12,13500,27.9,1,89.2,32.9
2024-07-11,15500,29.4,0,84.6,36.6
2024-07-10,15800,30.4,0,79.9,38.4
2024-07-09,15700,29.5,0,82.7,36.8
2024-07-08,15500,30.3,0,77.9,37.5
2024-07-07,15000,30.3,0,77.4,37.1
2024-07-06,14500,29.3,0,83.4,35.9
2024-07-05,13500,28.2,1,87.1,33.8
2024-07-04,14500,28.1,0,89.8,33.9
2024-07-03,14200,27.9,0,88.6,33.0
2024-07-01,14300,28.0,0,93.6,34.1
2024-06-30,15200,28.3,0,88.9,34.4
2024-06-29,14000,29.0,0,87.8,36.5
2024-06-28,14200,29.1,1,84.8,36.0
2024-06-27,16000,30.2,0,78.4,37.4
2024-06-26,15600,29.7,0,84.0,37.8
2024-06-25,15700,31.1,0,74.5,38.7
2024-06-23,15000,30.8,0,76.4,38.4
2024-06-22,13700,29.4,0,84.7,36.7
2024-06-21,12000,29.4,1,80.7,34.8
2024-06-20,12000,27.1,0,86.7,30.1
2024-06-19,12500,28.2,0,82.5,32.9
