Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike,Barisal_Demand,Chittagong_Demand,Comilla_Demand,Dhaka_Demand,Khulna_Demand,Mymensingh_Demand,Rajshahi_Demand,Rangpur_Demand,Sylhet_Demand
2024-12-31,10600,18.7,0,77.9,18.7,291.0,1002.0,869.0,3985,1174.0,869.0,941.0,691.0,360
2024-12-30,10800,21.8,0,61.4,21.7,293.0,1036.0,879.0,4031,1205.0,855.0,967.0,706.0,360
2024-12-29,10800,21.2,0,65.4,21.2,293.0,961.0,884.0,3891,1150.0,829.0,965.0,643.0,348
2024-12-28,9850,21.2,0,66.0,21.2,299.0,1014.0,891.0,3798,1170.0,838.0,949.0,688.0,364
2024-12-27,10600,21.4,1,59.5,21.3,283.0,868.0,789.0,3013,1074.0,750.0,880.0,627.0,336
2024-12-26,10600,21.9,0,58.3,21.8,297.0,1068.0,889.0,3958,1173.0,863.0,964.0,707.0,352
2024-12-25,10500,21.2,0,58.8,21.2,289.0,994.0,882.0,3886,1150.0,864.0,961.0,710.0,365
2024-12-24,10700,20.5,0,65.3,20.5,296.0,1064.0,913.0,3891,1184.0,869.0,965.0,717.0,364
2024-12-23,10700,20.4,0,68.1,20.4,304.0,1014.0,855.0,4004,1160.0,873.0,971.0,726.0,367
2024-12-22,10600,19.8,0,75.6,19.8,290.0,982.0,873.0,3972,1188.0,841.0,978.0,730.0,358
2024-12-21,9200,20.1,0,74.1,20.1,323.0,948.0,889.0,3739,1112.0,853.0,968.0,649.0,359
2024-12-19,10500,20.3,0,68.6,20.3,295.0,1063.0,849.0,3930,1172.0,855.0,993.0,709.0,369
2024-12-17,10250,20.9,0,60.4,20.8,300.0,1110.0,859.0,3648,1138.0,835.0,972.0,665.0,370
2024-12-16,9500,19.9,0,64.5,19.8,278.0,825.0,796.0,2704,1105.0,801.0,932.0,691.0,341
2024-12-15,10200,19.4,0,69.3,19.4,277.0,1021.0,863.0,3808,1166.0,851.0,1001.0,748.0,357
2024-12-14,10000,18.8,0,73.6,18.8,296.0,977.0,847.0,3813,1081.0,807.0,946.0,737.0,367
2024-12-13,10000,18.5,1,82.1,18.5,263.0,874.0,759.0,3014,1057.0,781.0,882.0,661.0,328
2024-12-11,10300,19.0,0,71.2,19.0,292.0,974.0,900.0,3903,1160.0,823.0,955.0,695.0,362
2024-12-10,10300,20.6,0,74.5,20.6,290.0,992.0,869.0,3954,1172.0,878.0,968.0,731.0,372
2024-12-09,10600,20.3,0,75.7,20.3,299.0,1050.0,846.0,3909,1135.0,842.0,918.0,700.0,363
2024-12-08,10800,20.5,0,57.0,20.5,297.0,965.0,847.0,3886,1157.0,825.0,983.0,729.0,347
2024-12-07,10000,20.8,0,50.5,20.8,298.0,948.0,845.0,3706,1183.0,855.0,966.0,696.0,374
2024-12-06,9500,21.3,1,56.2,21.3,274.0,955.0,772.0,3050,1061.0,757.0,884.0,655.0,347
2024-12-05,10900,22.6,0,63.6,22.5,272.0,1113.0,873.0,4134,1176.0,842.0,984.0,718.0,383
2024-12-04,11200,22.5,0,62.5,22.4,294.0,1139.0,897.0,4171,1162.0,802.0,956.0,728.0,371
2024-12-03,10800,23.5,0,61.0,23.4,300.0,1146.0,923.0,4236,1166.0,857.0,993.0,726.0,385
2024-12-02,10900,23.5,0,60.1,23.4,282.0,1132.0,905.0,4118,1120.0,850.0,975.0,702.0,399
2024-12-01,10900,23.9,0,61.5,23.8,304.0,1182.0,898.0,4153,1131.0,862.0,990.0,731.0,388
2024-11-30,10600,24.2,0,66.2,24.3,313.0,1171.0,952.0,4053,1146.0,859.0,953.0,740.0,415
2024-11-29,9200,24.9,1,57.4,24.8,282.0,1048.0,827.0,3324,1035.0,738.0,840.0,575.0,360
2024-11-28,10800,23.6,0,61.4,23.5,281.0,1075.0,921.0,4215,1171.0,840.0,945.0,682.0,394
2024-11-27,10800,23.1,0,65.6,23.0,291.0,990.0,910.0,4236,1153.0,849.0,954.0,667.0,390
2024-11-26,10600,22.7,0,64.8,22.7,284.0,1043.0,923.0,4103,1159.0,845.0,957.0,723.0,404
2024-11-25,10700,22.9,0,62.1,22.9,287.0,1094.0,910.0,4038,1133.0,809.0,953.0,711.0,379
2024-11-24,11000,23.5,0,64.8,23.4,294.0,1159.0,916.0,4017,1136.0,834.0,952.0,710.0,377
2024-11-23,10500,24.1,0,65.9,24.2,301.0,1017.0,931.0,3957,1098.0,803.0,921.0,647.0,380
2024-11-22,10800,23.8,1,61.2,23.7,267.0,912.0,815.0,3234,1051.0,772.0,864.0,626.0,348
2024-11-21,11000,23.7,0,62.8,23.5,297.0,1131.0,945.0,4249,1187.0,850.0,973.0,707.0,419
2024-11-20,11500,23.9,0,63.3,23.7,301.0,1123.0,981.0,4240,1175.0,851.0,985.0,733.0,444
2024-11-19,11100,24.2,0,64.7,24.1,299.0,1111.0,960.0,4300,1191.0,867.0,957.0,736.0,423
2024-11-18,11300,23.8,0,62.2,23.8,293.0,1097.0,955.0,4263,1144.0,890.0,962.0,729.0,426
2024-11-17,11800,24.3,0,54.6,24.1,304.0,1142.0,1001.0,4239,1176.0,871.0,947.0,714.0,424
2024-11-15,11500,25.6,1,69.7,25.9,443.0,1298.0,1316.0,5032,1572.0,1092.0,1288.0,787.0,563
2024-11-14,12400,26.2,0,68.5,26.6,337.0,1282.0,1100.0,4787,1283.0,866.0,1042.0,723.0,457
2024-11-13,12800,26.3,0,65.1,26.7,329.0,1227.0,1115.0,4780,1330.0,964.0,1094.0,724.0,484
2024-11-12,12550,27.3,0,57.7,27.6,358.0,1256.0,1175.0,4690,1308.0,915.0,1070.0,690.0,472
2024-11-11,12500,27.2,0,63.7,27.8,371.0,1325.0,1265.0,4516,1337.0,902.0,1061.0,643.0,466
2024-11-10,13000,26.7,0,65.8,27.2,353.0,1155.0,1139.0,4576,1339.0,908.0,1088.0,662.0,458
2024-11-09,12000,26.5,0,64.3,26.9,354.0,1119.0,1137.0,4617,1333.0,942.0,1128.0,674.0,462
2024-11-08,12000,26.9,1,65.9,27.4,331.0,1032.0,1043.0,3810,1342.0,968.0,1054.0,682.0,433
2024-11-07,13000,26.5,0,71.4,27.5,351.0,1141.0,1082.0,4849,1456.0,1011.0,1163.0,770.0,496
2024-11-06,13000,25.3,0,73.1,25.7,348.0,1250.0,1120.0,4830,1454.0,1000.0,1199.0,774.0,477
2024-11-05,13500,27.7,0,68.8,28.9,370.0,1180.0,1072.0,5005,1508.0,1029.0,1163.0,788.0,460
2024-11-04,13500,27.9,0,71.3,29.6,420.0,1232.0,1266.0,4953,1482.0,1028.0,1174.0,717.0,555
2024-11-03,14000,27.8,0,75.0,29.7,420.0,1240.0,1239.0,4969,1491.0,1054.0,1165.0,753.0,549
2024-11-02,13000,28.2,0,73.8,30.6,420.0,1148.0,1302.0,4791,1515.0,1051.0,1194.0,678.0,524
2024-11-01,13200,28.8,1,74.7,32.4,417.0,1120.0,1250.0,4284,1480.0,1008.0,1138.0,663.0,527
2024-10-31,14000,29.2,0,77.7,34.4,443.0,1298.0,1316.0,5032,1572.0,1092.0,1288.0,787.0,563
2024-10-30,14000,29.3,0,75.6,34.1,424.0,1273.0,1287.0,5150,1563.0,1070.0,1223.0,793.0,546
2024-10-29,14800,28.8,0,74.0,31.9,432.0,1229.0,1279.0,5200,1583.0,1057.0,1242.0,775.0,574
2024-10-28,14300,29.2,0,71.4,32.4,405.0,1215.0,1346.0,5111,1610.0,1112.0,1218.0,768.0,572
2024-10-27,14300,28.9,0,77.4,32.5,439.0,1263.0,1367.0,5096,1580.0,1104.0,1216.0,726.0,578
2024-10-26,13200,28.6,0,79.5,32.7,411.0,1369.0,1320.0,4887,1534.0,1103.0,1069.0,630.0,579
2024-10-25,11000,27.4,1,80.9,30.3,374.0,1180.0,1190.0,3962,1205.0,943.0,893.0,533.0,536
2024-10-24,12800,25.2,0,87.6,25.9,261.0,1280.0,935.0,4421,1208.0,816.0,1004.0,698.0,442
2024-10-23,14650,28.0,0,83.7,32.4,404.0,1295.0,1309.0,5087,1448.0,1081.0,1068.0,755.0,540
2024-10-22,14500,29.5,0,76.3,34.0,448.0,1283.0,1388.0,5095,1586.0,1167.0,1324.0,769.0,610
2024-10-21,13800,28.1,0,74.1,30.1,396.0,1330.0,1272.0,5062,1533.0,1112.0,1296.0,808.0,570
2024-10-20,13800,27.8,0,79.1,30.1,396.0,1369.0,1294.0,5016,1509.0,1075.0,1276.0,801.0,570
2024-10-19,13700,28.0,0,82.5,31.0,382.0,1318.0,1280.0,4939,1495.0,1057.0,1243.0,783.0,554
2024-10-18,12800,26.9,1,90.7,29.4,405.0,1302.0,1238.0,3984,1353.0,873.0,1115.0,659.0,508
2024-10-17,14300,27.8,0,83.5,31.7,390.0,1402.0,1300.0,5072,1565.0,1027.0,1315.0,788.0,591
2024-10-16,14500,28.7,0,77.3,32.3,447.0,1244.0,1384.0,5108,1622.0,1204.0,1366.0,813.0,567
2024-10-15,14400,28.5,0,74.6,31.4,456.0,1257.0,1348.0,5050,1694.0,1132.0,1377.0,775.0,544
2024-10-14,15000,28.9,0,77.1,32.7,462.0,1282.0,1361.0,4906,1645.0,1156.0,1365.0,803.0,565
2024-10-13,14500,29.1,0,76.8,33.3,436.0,1234.0,1280.0,4833,1601.0,1166.0,1340.0,832.0,565
2024-10-12,14000,28.4,0,82.0,32.2,447.0,1235.0,1371.0,4790,1625.0,1177.0,1362.0,868.0,554
2024-10-11,14000,28.6,1,82.3,33.3,452.0,1229.0,1308.0,3885,1602.0,1067.0,1308.0,780.0,465
2024-10-10,13500,28.1,0,84.1,31.9,428.0,1246.0,1322.0,4852,1603.0,1173.0,1325.0,877.0,575
2024-10-09,14500,27.4,0,88.6,30.9,401.0,1479.0,1232.0,4966,1111.0,1084.0,1224.0,937.0,579
2024-10-08,15000,28.3,0,86.1,33.0,471.0,1313.0,1313.0,4785,1610.0,1079.0,1296.0,874.0,520
2024-10-07,15000,28.3,0,86.8,33.6,451.0,1412.0,1324.0,5164,1720.0,1110.0,1394.0,931.0,546
2024-10-06,14500,28.7,0,84.0,34.0,435.0,1292.0,1250.0,5002,1625.0,1088.0,1310.0,765.0,598
2024-10-05,12500,26.1,0,89.04285714285713,27.4,405.0,1308.0,1119.0,4781,1541.0,1021.0,1303.0,750.0,516
2024-10-03,14500,26.8,0,93.5,30.0,437.0,1198.0,1252.0,4827,1572.0,1045.0,1260.0,794.0,531
2024-10-02,15400,28.9,0,87.0,35.2,401.0,1098.0,1299.0,5043,1693.0,1322.0,1467.0,949.0,571
2024-10-01,15200,29.0,0,86.6,35.6,497.0,1330.0,1369.0,5308,1806.0,1197.0,1477.0,1008.0,604
2024-09-30,15500,29.3,0,90.8,38.2,496.0,1384.0,1393.0,4527,1831.0,1271.0,1396.0,1002.0,646
2024-09-29,15500,29.6,0,85.9,37.4,496.0,1417.0,1451.0,5276,1811.0,1241.0,1451.0,908.0,569
2024-09-28,13500,29.5,0,81.7,35.2,476.0,1417.0,1418.0,5206,1749.0,1149.0,1422.0,713.0,589
2024-09-27,13200,27.4,1,90.2,30.9,441.0,1233.0,1275.0,4216,1492.0,1009.0,1082.0,598.0,579
2024-09-26,14000,26.0,0,93.6,26.8,364.0,1362.0,1189.0,4641,1372.0,942.0,1063.0,636.0,534
2024-09-25,14000,27.0,0,93.1,31.1,409.0,1194.0,1226.0,4900,1464.0,987.0,1209.0,884.0,501
