Report Date,Zone,Generation(MW)
2024-12-31,Barishal,2772
2024-12-31,Sylhet,2442
2024-12-31,Khulna,5171
2024-12-31,Sylhet,3020
2024-12-31,Mymensing,814
2024-12-31,Cumilla,3516
2024-12-31,Chattogram,4738
2024-12-31,Dhaka,55
2024-12-31,Dhaka,55
2024-12-31,Chattogram,3565
2024-12-31,Cumilla,2596
2024-12-31,Rangpur,1210
2024-12-31,Mymensing,398
2024-12-31,Khulna,2164
2024-12-31,Barishal,2548
2024-12-31,Rajshahi,2691
2024-12-31,Rangpur,748
2024-12-31,Rajshahi,3470
2024-12-30,Mymensing,814
2024-12-30,Sylhet,3020
2024-12-30,Cumilla,3371
2024-12-30,Chattogram,4738
2024-12-30,Dhaka,54
2024-12-30,Rajshahi,3470
2024-12-30,Rangpur,1130
2024-12-30,Barishal,2774
2024-12-30,Khulna,5107
2024-12-29,Rangpur,1109
2024-12-29,Rajshahi,3647
2024-12-29,Barishal,1225
2024-12-29,Khulna,5257
2024-12-29,Sylhet,3145
2024-12-29,Mymensing,838
2024-12-29,Cumilla,3491
2024-12-29,Chattogram,4833
2024-12-29,Dhaka,53
2024-12-28,Rajshahi,3647
2024-12-28,Chattogram,4833
2024-12-28,Cumilla,3436
2024-12-28,Mymensing,838
2024-12-28,Sylhet,3145
2024-12-28,Khulna,4917
2024-12-28,Barishal,1155
2024-12-28,Rangpur,1109
2024-12-28,Dhaka,56
2024-12-27,Rajshahi,3647
2024-12-27,Sylhet,3041
2024-12-27,Dhaka,55
2024-12-27,Cumilla,3516
2024-12-27,Mymensing,818
2024-12-27,Chattogram,4860
2024-12-27,Rangpur,1101
2024-12-27,Khulna,4727
2024-12-27,Barishal,1111
2024-12-26,Rangpur,951
2024-12-26,Dhaka,50
2024-12-26,Rajshahi,3647
2024-12-26,Barishal,1111
2024-12-26,Khulna,4569
2024-12-26,Sylhet,3001
2024-12-26,Mymensing,818
2024-12-26,Cumilla,3510
2024-12-26,Chattogram,4835
2024-12-25,Chattogram,4835
2024-12-25,Rangpur,941
2024-12-25,Barishal,791
2024-12-25,Sylhet,2850
2024-12-25,Mymensing,818
2024-12-25,Cumilla,3498
2024-12-25,Dhaka,53
2024-12-25,Khulna,4335
2024-12-25,Rajshahi,3497
2024-12-24,Mymensing,798
2024-12-24,Sylhet,2981
2024-12-24,Chattogram,4835
2024-12-24,Dhaka,48
2024-12-24,Khulna,3718
2024-12-24,Barishal,791
2024-12-24,Rajshahi,3587
2024-12-24,Rangpur,961
2024-12-24,Cumilla,3478
2024-12-23,Rangpur,961
2024-12-23,Cumilla,3436
2024-12-23,Khulna,3718
2024-12-23,Sylhet,2705
2024-12-23,Mymensing,635
2024-12-23,Barishal,791
2024-12-23,Chattogram,4835
2024-12-23,Dhaka,47
2024-12-23,Rajshahi,3558
2024-12-22,Dhaka,46
2024-12-22,Chattogram,4780
2024-12-22,Cumilla,3312
2024-12-22,Sylhet,3134
2024-12-22,Barishal,796
2024-12-22,Rajshahi,3545
2024-12-22,Rangpur,961
2024-12-22,Mymensing,552
2024-12-22,Khulna,4975
2024-12-21,Dhaka,49
2024-12-21,Khulna,4961
2024-12-21,Mymensing,493
2024-12-21,Sylhet,2986
2024-12-21,Khulna,4981
2024-12-21,Barishal,796
2024-12-21,Rajshahi,3542
2024-12-21,Rangpur,961
2024-12-21,Chattogram,4294
2024-12-21,Dhaka,49
2024-12-21,Chattogram,4241
2024-12-21,Cumilla,3342
2024-12-21,Mymensing,507
2024-12-21,Sylhet,2922
2024-12-21,Cumilla,3338
2024-12-21,Barishal,796
2024-12-21,Rangpur,961
2024-12-21,Rajshahi,3545
2024-12-19,Dhaka,47
2024-12-19,Rangpur,961
2024-12-19,Rajshahi,3652
2024-12-19,Barishal,656
2024-12-19,Khulna,5023
2024-12-19,Sylhet,2864
2024-12-19,Mymensing,671
2024-12-19,Chattogram,4938
2024-12-19,Cumilla,3440
2024-12-19,Dhaka,43
2024-12-19,Rajshahi,3662
2024-12-19,Chattogram,4937
2024-12-19,Cumilla,3318
2024-12-19,Mymensing,539
2024-12-19,Sylhet,2810
2024-12-19,Khulna,5011
2024-12-19,Barishal,656
2024-12-19,Rangpur,961
2024-12-17,Rangpur,969
2024-12-17,Rajshahi,3552
2024-12-17,Dhaka,41
2024-12-17,Sylhet,2344
2024-12-17,Chattogram,4938
2024-12-17,Barishal,926
2024-12-17,Khulna,4893
2024-12-17,Cumilla,3060
2024-12-17,Mymensing,551
2024-12-16,Chattogram,4958
2024-12-16,Dhaka,40
2024-12-16,Cumilla,2956
2024-12-16,Mymensing,511
2024-12-16,Sylhet,2492
2024-12-16,Khulna,3997
2024-12-16,Barishal,926
2024-12-16,Rajshahi,3522
2024-12-16,Rangpur,969
2024-12-15,Rajshahi,3592
2024-12-15,Barishal,2784
2024-12-15,Dhaka,39
2024-12-15,Chattogram,4958
2024-12-15,Cumilla,3331
2024-12-15,Mymensing,511
2024-12-15,Rangpur,969
2024-12-15,Sylhet,2492
2024-12-15,Khulna,3147
2024-12-14,Khulna,2937
2024-12-14,Dhaka,38
2024-12-14,Barishal,2784
2024-12-14,Sylhet,2492
2024-12-14,Mymensing,511
2024-12-14,Cumilla,3131
2024-12-14,Rangpur,1094
2024-12-14,Chattogram,4958
2024-12-14,Rajshahi,3307
2024-12-13,Rajshahi,3910
2024-12-13,Rangpur,1094
2024-12-13,Barishal,2784
2024-12-13,Khulna,2938
2024-12-13,Sylhet,3304
2024-12-13,Mymensing,499
2024-12-13,Dhaka,37
2024-12-13,Cumilla,3432
2024-12-13,Chattogram,4405
2024-12-12,Khulna,2938
2024-12-12,Rajshahi,3890
2024-12-12,Barishal,2784
2024-12-12,Dhaka,36
2024-12-12,Sylhet,3054
2024-12-12,Chattogram,4375
